,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm
Mrpl15,ENSMUSG00000033845,Gene Expression,926,False,0.6187937,0.3364625,-0.4693909
Lypla1,ENSMUSG00000025903,Gene Expression,790,False,0.49642175,0.33277458,-0.30417264
Tcea1,ENSMUSG00000033813,Gene Expression,862,False,0.5693636,0.3111898,-0.56199175
Atp6v1h,ENSMUSG00000033793,Gene Expression,502,True,0.29738525,0.507908,0.29733512
Rb1cc1,ENSMUSG00000025907,Gene Expression,489,True,0.34132916,0.6789553,0.88480896
4732440D04Rik,ENSMUSG00000090031,Gene Expression,97,False,0.05915007,0.3181682,-0.16237827
Pcmtd1,ENSMUSG00000051285,Gene Expression,424,True,0.29728487,0.62783974,0.70924896
Gm26901,ENSMUSG00000097797,Gene Expression,17,False,0.0087775495,0.15584569,-0.5941638
Rrs1,ENSMUSG00000061024,Gene Expression,484,False,0.30419698,0.32801947,-0.32050437
Mybl1,ENSMUSG00000025912,Gene Expression,33,False,0.011404499,-0.09723884,-1.2673805
Vcpip1,ENSMUSG00000045210,Gene Expression,327,False,0.1983066,0.31720382,-0.16494355
1700034P13Rik,ENSMUSG00000097893,Gene Expression,4,False,0.0010349641,-0.4500487,-2.2058713
Sgk3,ENSMUSG00000025915,Gene Expression,132,True,0.10072224,0.4918565,0.29964077
Mcmdc2,ENSMUSG00000046101,Gene Expression,6,False,0.0037325874,0.25429264,-0.33229026
Snhg6,ENSMUSG00000098234,Gene Expression,955,False,0.6676214,0.45605317,-0.031202491
Cops5,ENSMUSG00000025917,Gene Expression,814,False,0.49683186,0.24354969,-0.61062163
Cspp1,ENSMUSG00000056763,Gene Expression,395,True,0.24185681,0.62664175,0.6581759
Arfgef1,ENSMUSG00000067851,Gene Expression,419,False,0.240007,0.4040085,0.06596101
Prex2,ENSMUSG00000048960,Gene Expression,3,False,0.002455739,0.43898988,0.15901309
A830018L16Rik,ENSMUSG00000057715,Gene Expression,3,False,0.0021467484,0.23053963,-0.39547434
Ncoa2,ENSMUSG00000005886,Gene Expression,358,False,0.20798665,0.34342954,-0.095181905
Tram1,ENSMUSG00000025935,Gene Expression,1273,False,0.93764913,0.46454883,-0.17602675
Lactb2,ENSMUSG00000025937,Gene Expression,274,True,0.1539042,0.48411947,0.27905995
Gm9947,ENSMUSG00000054493,Gene Expression,5,False,0.0016081647,-0.046885204,-1.1334374
Msc,ENSMUSG00000025930,Gene Expression,18,False,0.009083834,0.19500348,-0.4900022
Terf1,ENSMUSG00000025925,Gene Expression,378,False,0.20657918,0.21873234,-0.4268823
Rpl7,ENSMUSG00000043716,Gene Expression,1932,False,3.4679685,1.0994593,-0.90972716
Rdh10,ENSMUSG00000025921,Gene Expression,37,False,0.018811027,0.38383138,0.012288904
Stau2,ENSMUSG00000025920,Gene Expression,5,False,0.001637386,-0.53605473,-2.4346514
Ube2w,ENSMUSG00000025939,Gene Expression,229,False,0.14108127,0.42333373,0.11736702
Eloc,ENSMUSG00000079658,Gene Expression,1190,False,0.940063,0.44970965,-0.19679713
D030040B21Rik,ENSMUSG00000097744,Gene Expression,3,False,0.00091158005,-0.060019113,-1.1683743
Tmem70,ENSMUSG00000025940,Gene Expression,372,False,0.21374018,0.32864726,-0.13450347
Ly96,ENSMUSG00000025779,Gene Expression,83,False,0.03743377,0.051109172,-0.87276787
Mcm3,ENSMUSG00000041859,Gene Expression,675,True,0.51142824,0.7489536,1.1252228
Paqr8,ENSMUSG00000025931,Gene Expression,6,False,0.0062972773,0.7479093,0.9807533
Tram2,ENSMUSG00000041779,Gene Expression,89,False,0.034981698,0.11654196,-0.69871354
Tmem14a,ENSMUSG00000025933,Gene Expression,33,False,0.018011443,0.30914342,-0.18638457
Khdc1a,ENSMUSG00000067750,Gene Expression,4,False,0.005556477,1.076111,1.8537853
Kcnq5,ENSMUSG00000028033,Gene Expression,14,False,0.006170207,-0.013928224,-1.0457704
Gm26580,ENSMUSG00000097109,Gene Expression,4,False,0.002710916,0.50161684,0.32560375
Ogfrl1,ENSMUSG00000026158,Gene Expression,96,True,0.060578793,0.47426113,0.2528363
Smap1,ENSMUSG00000026155,Gene Expression,928,False,0.65335304,0.39344385,-0.2606073
Sdhaf4,ENSMUSG00000026154,Gene Expression,517,False,0.3140444,0.26387614,-0.54080904
Lmbrd1,ENSMUSG00000073725,Gene Expression,246,True,0.14735346,0.60729086,0.6067016
Phf3,ENSMUSG00000048874,Gene Expression,810,False,0.51177186,0.43370253,0.042471357
Ptp4a1,ENSMUSG00000026064,Gene Expression,543,False,0.3242545,0.32596502,-0.32756054
Prim2,ENSMUSG00000026134,Gene Expression,265,False,0.12602562,0.17708546,-0.53766495
Rab23,ENSMUSG00000004768,Gene Expression,45,False,0.019183828,0.17897755,-0.53263193
Bag2,ENSMUSG00000042215,Gene Expression,66,False,0.032092165,0.17215277,-0.55078614
Zfp451,ENSMUSG00000042197,Gene Expression,226,True,0.14632733,0.57175034,0.5121622
Bend6,ENSMUSG00000042182,Gene Expression,4,False,0.0026742222,0.17554979,-0.54174995
Dst,ENSMUSG00000026131,Gene Expression,4,False,0.0041929143,0.9733001,1.5803035
Gm37233,ENSMUSG00000102336,Gene Expression,11,False,0.0041372734,-0.0025448967,-1.0154902
Ccdc115,ENSMUSG00000042111,Gene Expression,616,False,0.37706676,0.27442732,-0.5045703
Imp4,ENSMUSG00000026127,Gene Expression,670,False,0.40832168,0.2945829,-0.43534458
Ptpn18,ENSMUSG00000026126,Gene Expression,1789,False,2.045286,0.8708894,-0.19957364
4930568A12Rik,ENSMUSG00000101223,Gene Expression,6,False,0.003407236,0.13883674,-0.63940835
Arhgef4,ENSMUSG00000037509,Gene Expression,58,False,0.035223063,0.4473311,0.18120115
Gm38336,ENSMUSG00000104002,Gene Expression,5,False,0.0031841723,0.3329895,-0.122952856
Fam168b,ENSMUSG00000037503,Gene Expression,505,False,0.30345792,0.40349454,-0.06128007
Plekhb2,ENSMUSG00000026123,Gene Expression,388,False,0.20330396,0.20294864,-0.4688677
Hs6st1,ENSMUSG00000045216,Gene Expression,60,True,0.049648,0.58552635,0.548807
Uggt1,ENSMUSG00000037470,Gene Expression,443,False,0.24537067,0.3699492,-0.024638375
Neurl3,ENSMUSG00000047180,Gene Expression,324,True,0.27031463,0.70195127,0.9637901
Arid5a,ENSMUSG00000037447,Gene Expression,332,True,0.2300867,0.53683376,0.41928244
4930403P22Rik,ENSMUSG00000102762,Gene Expression,17,False,0.01354667,0.39594647,0.044515617
Kansl3,ENSMUSG00000010453,Gene Expression,376,True,0.21377487,0.49520624,0.30855125
Lman2l,ENSMUSG00000001143,Gene Expression,124,True,0.08260158,0.46462995,0.2272169
Cnnm4,ENSMUSG00000037408,Gene Expression,81,False,0.03328467,0.06749112,-0.8291911
Cnnm3,ENSMUSG00000001138,Gene Expression,101,True,0.06475069,0.53990865,0.42746177
Ankrd23,ENSMUSG00000067653,Gene Expression,9,False,0.0051886975,0.27428925,-0.27909833
Ankrd39,ENSMUSG00000079610,Gene Expression,307,False,0.17872761,0.3249798,-0.14425904
Cox5b,ENSMUSG00000061518,Gene Expression,1688,False,1.948133,1.0058265,0.15321533
Actr1b,ENSMUSG00000037351,Gene Expression,419,True,0.2383854,0.4623549,0.22116515
Zap70,ENSMUSG00000026117,Gene Expression,1120,False,0.7759231,0.35597953,-0.39787915
Tmem131,ENSMUSG00000026116,Gene Expression,182,False,0.10671307,0.37478992,-0.0117618
Vwa3b,ENSMUSG00000050122,Gene Expression,11,False,0.007843695,0.34021622,-0.10372948
Inpp4a,ENSMUSG00000026113,Gene Expression,221,False,0.113568164,0.29839113,-0.21498618
Coa5,ENSMUSG00000026112,Gene Expression,506,False,0.29574907,0.28110817,-0.48162445
Unc50,ENSMUSG00000026111,Gene Expression,630,False,0.37243515,0.18863699,-0.7992231
Mgat4a,ENSMUSG00000026110,Gene Expression,118,True,0.07664267,0.5145436,0.35998952
2010300C02Rik,ENSMUSG00000026090,Gene Expression,47,False,0.023976607,0.18652867,-0.5125456
4930556I23Rik,ENSMUSG00000089767,Gene Expression,5,False,0.0029951173,0.31535494,-0.16986164
Tsga10,ENSMUSG00000060771,Gene Expression,24,False,0.014400692,0.25769216,-0.32324737
Lipt1,ENSMUSG00000037216,Gene Expression,23,False,0.01707342,0.4059358,0.07108768
Mitd1,ENSMUSG00000026088,Gene Expression,687,True,0.458319,0.5392587,0.40501136
Mrpl30,ENSMUSG00000026087,Gene Expression,1301,False,1.0015957,0.5332814,-0.07982186
Txndc9,ENSMUSG00000058407,Gene Expression,832,False,0.5407722,0.27946025,-0.678251
