,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.4795024,-0.19924461841583252,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.0383304,0.38650035858154297,True,0.037091921217015364,0.10891042466576373,0.11598000920381134,21.80283804401698,1.871621952454249,0.08793912827968597,0.04976549372076988,0.20390743117459648,0.0,0.0,0.40615373369188945,0.28779478629587235,0.1708787396903439,0.9963881218229177,5.111601412672223
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.79002774,-0.8819974660873413,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4306188,-0.7618594169616699,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.4230365,0.24504142999649048,True,0.20752522660378908,0.18382177483002826,0.26336565116819455,14.14147776990133,0.8395939886569976,0.25312089920043945,0.14018826186656952,0.22907655147268766,0.0,0.0,0.17394017485624036,0.9656461809929272,0.5980651758868119,0.9350138077719102,2.7699366947691777
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,7.8288827,-9.814733505249023,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.45687866,-1.4320945739746094,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.9434516,-0.5014395713806152,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.002786962,-1.5923504829406738,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,10.844424,-3.100182056427002,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08804459,-1.3826632499694824,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.09040146,0.6021984815597534,True,2.528224827663646,5.765100780238656,0.5105502182394396,9.802760702150556,0.044804604593664414,0.1437089741230011,1.5155248641967773,0.42584018636466225,0.0,0.0,0.47752369665851835,0.33294755209805543,4.12462210680904,0.2859226005407884,1.742139634079249
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.46899223,-0.6074992418289185,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,104.87076,-0.6946549415588379,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.09214078,-0.12610125541687012,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.38545212,-0.3887901306152344,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.06882638,-1.4568064212799072,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.3157337,-2.3303580284118652,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.9662964,0.23338395357131958,True,0.13587827977828756,0.07643328339258453,0.23520104459878868,9.086115597630569,7.278638570308683,0.667361855506897,0.13959456980228424,0.357679760935038,0.0,0.0,0.3292233619851618,1.7421659262864457,0.337280194098451,0.3553725484200192,2.3457290211501927
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.2160273,-0.19842493534088135,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.3979317,-0.896039605140686,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.0532467,-1.7887556552886963,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.9460909,-0.33059656620025635,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.3321087,-0.5724465847015381,False,,,,,,,,,,,,,,,
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.79886144,-1.5908000469207764,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.3479484,-1.1533687114715576,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.6183279,-1.170149564743042,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.033382323,-4.7050862312316895,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.6203501,-0.7524455785751343,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.3286518,-0.4031243324279785,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.4551036,-0.956780195236206,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.06427827,-2.1071672439575195,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,3.103782,-0.2063589096069336,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,18.958643,0.8667557239532471,True,0.19771115015541155,0.014714420271603716,0.22939040333100624,11.496571448448945,28.311847057342533,5.136042594909668,0.22963440418243408,0.4365121264366848,0.0,0.0,0.4263224667028571,13.836575744886677,0.5954929916910698,0.28466055240891985,2.893849020003749
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.7272432,-0.49619102478027344,False,,,,,,,,,,,,,,,
