Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
H2-Eb1,Nap1l1,1.7113865878576013,Nap1l1,1.9498176010178712,,,H2-Eb1,,
Nr1d2,Mcm6,1.1614675718731244,Mcm6,1.0512469883396398,,,Klrg1,,
Nono,Hmgb2,0.9813283687869865,Mcm2,1.01677749932918,,,Nr1d2,,
Satb1,Polr2f,0.9316899658885825,Hmgb2,1.0148806373630692,,,C5ar1,,
Nsd2,Hnrnpd,0.930251173508318,Dek,0.9972558672882756,,,Satb1,,
Zmynd11,Mcm5,0.8982053014126865,Mcm4,0.9811960462990765,,,Nsd2,,
Cd6,Nsd2,0.8871034526797268,Mcm7,0.924604829984349,,,Zmynd11,,
Brip1,Ezh2,0.8680605859451332,Hnrnpd,0.9110351277899068,,,Arid4b,,
Khdrbs1,Ssrp1,0.8558391218201455,Mcm3,0.891141874979179,,,Cd6,,
Phc2,Dek,0.8440764150431558,Ezh2,0.8797941868557376,,,Gtf2i,,
Rora,Mcm3,0.8153071165861184,Polr2f,0.8784796183876216,,,Brip1,,
Mybl1,Mcm7,0.7954432678831911,Mcm5,0.8735176021511336,,,Zmym2,,
Stat6,Snrpd1,0.7936087729910611,Snrpd1,0.8548196283937224,,,Dpp4,,
Gtf2ird1,Cbx5,0.7860902370616822,Rbbp7,0.8178823791223774,,,Khdrbs1,,
Tnfsf4,Suz12,0.7760896605393321,Nsd2,0.7822476763293661,,,Il18r1,,
Il21r,Mcm4,0.7678089463449601,Cbx5,0.7711353203556618,,,Rora,,
Il2ra,Hells,0.7479560325852822,Ssrp1,0.7330938408200669,,,Mybl1,,
Prmt5,Dnmt1,0.7479445644577335,Smarcc1,0.7216268090437181,,,Pecam1,,
Mbd4,Fkbp5,0.7345262310316492,Dnmt1,0.7214907434665103,,,Gtf2ird1,,
Nr4a3,Atf6,0.6996082410292239,Hells,0.7196801643936106,,,Pa2g4,,
Srrm1,Satb1,0.6995488262958404,Cbx1,0.7012304394492195,,,Mcm2,,
Mcm4,Smarcc1,0.6978213282804593,Tcf7,0.690363515909644,,,Tnfsf4,,
Tob1,Tcf7,0.6742417216441531,Satb1,0.6802145688557271,,,Parp1,,
Ddx20,Gtf2e2,0.6694439586630426,Brca1,0.6743027920299097,,,Mybl2,,
Fosl1,Supt16,0.6351770176763503,Atf6,0.673662510270589,,,Fos,,
Psip1,Tfdp1,0.6320102527110516,Supt16,0.6456676761201172,,,Il21r,,
Cd226,Cbx1,0.6181464874399507,Fkbp5,0.637582879109459,,,Il2ra,,
Zeb1,Brip1,0.6173888185896699,Actl6a,0.6338709169879796,,,Prmt5,,
Tnfsf8,Aff3,0.6117332032419027,Rora,0.6293724623778395,,,Mbd4,,
Pirb,Actl6a,0.6074651045479086,Ccr7,0.6256493287048188,,,Nr4a3,,
Brca2,Timeless,0.588098335284506,Aff3,0.6246595044517452,,,Srrm1,,
Kdm5b,Cops5,0.5813499084557315,Brip1,0.615905807378758,,,Icos,,
Foxm1,Hif1a,0.5802539359198666,Gtf2e2,0.6114357827535488,,,Foxp1,,
Ikzf2,Uhrf1,0.5790977341345693,Cd53,0.5918612410584178,,,Trbc1,,
Kdm7a,Cd53,0.57395422257405,Hif1a,0.58939945316343,,,Mcm4,,
Zhx2,Brca1,0.5720891386198643,Rbbp4,0.5890061320247034,,,Tob1,,
Ly86,Zbtb16,0.5719186744270464,Timeless,0.5889710102853216,,,Itgb1,,
Rela,Parp1,0.5654467177027495,Orc1,0.5883583913901345,,,Rad51,,
Ewsr1,Rbbp4,0.5562332984565871,Cops5,0.579776240870135,,,Ddx20,,
Rbbp7,Cenpk,0.5556997376578606,Suz12,0.5713533801977096,,,Tlr2,,
Itga4,Lef1,0.5554090006363464,Fmr1,0.5671740855603661,,,Fosl1,,
Batf,Rbbp7,0.5531221532159147,Bard1,0.5666522072761125,,,Psip1,,
Zdhhc2,Bard1,0.5530835777595963,Baz1b,0.5653747899455892,,,Gtf2e2,,
Ifngr1,Kdm7a,0.5492122833723869,Parp1,0.5559535221429707,,,Cd226,,
Slamf7,Gtf3a,0.5471728565108659,Uhrf1,0.5540648303387892,,,Zeb1,,
H2-Ab1,Paxip1,0.5432884184679599,Il7r,0.5430326806181794,,,Tnfsf8,,
Phf14,Smad7,0.5368288050997269,Kmt5a,0.5427186287459383,,,Clec12a,,
Uhrf1,Baz1b,0.5367754955809522,Tfdp1,0.5418846784646544,,,Pirb,,
Lair1,Cbx3,0.5301945292106928,Cd48,0.5359101466472493,,,Brca2,,
Atp1b3,Bsg,0.5233062432791321,Smad7,0.5321090340826853,,,Kdm5b,,
