,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.26845887,0.3112412095069885,True
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.8795879,-0.07307970523834229,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6847926,-0.9536997079849243,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.3230035,0.13945579528808594,True
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3969115,-0.09516215324401855,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.763923,-4.559683322906494,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.4643961,-0.4823402166366577,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.7867505,-0.1701420545578003,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.003654556,-1.0544486045837402,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.1959176,-4.947517395019531,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.089084476,-0.2237764596939087,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.114715226,0.7110844254493713,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.5232164,-0.48058950901031494,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,120.95627,-0.33432793617248535,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.20707987,-0.22669148445129395,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5482543,-0.12637865543365479,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.078346536,-3.245774745941162,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.2163762,-1.112459421157837,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.8319876,0.3375459909439087,True
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.21506509,-0.010982394218444824,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.0814745,-1.0719103813171387,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.304705,-1.140172004699707,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.7127438,-1.4327869415283203,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.7134047,0.3852272033691406,True
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.67962205,-1.1242554187774658,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.307482,-1.0494637489318848,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.9599707,-0.9154849052429199,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.042807333,-4.4353156089782715,False
