,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Merged-chr1-10220318-15,22.71675899,-1.430546957,0.560583142,-2.55189079,0.01071401,0.096125928
Merged-chr1-105435221-43,36.86168697,-2.467110465,0.4843905,-5.093226361,3.52E-07,0.000207838
Merged-chr1-105519381-4,12.60824479,-2.726814763,0.730982074,-3.730344231,0.000191218,0.010630001
Merged-chr1-105524025-4,11.66748515,-1.642848505,0.688880679,-2.384808507,0.017088014,0.123765215
Merged-chr1-105564889-1,2.787099045,-1.747103362,0.815561325,-2.142209677,0.032176613,NA
Merged-chr1-105565206-15,9.26254511,-2.288077586,0.760742304,-3.007690745,0.002632409,0.045476031
Merged-chr1-105708125-3,3.145640374,-1.70181335,0.827764247,-2.055915505,0.039790661,NA
Merged-chr1-106145784-10,10.02233441,-1.667835649,0.746998534,-2.232716094,0.025567672,0.153428653
Merged-chr1-106515840-58,25.27868883,-1.201174655,0.539623526,-2.225949382,0.026017572,0.15478557
Merged-chr1-106561305-15,13.00676029,-1.382377203,0.68579208,-2.01573807,0.043827372,0.203226072
Merged-chr1-107582958-2,6.753885165,-1.660426819,0.796631135,-2.084310726,0.037131912,NA
Merged-chr1-111864620-131,170.6787516,-1.292687647,0.303345219,-4.261440649,2.03E-05,0.002675158
Merged-chr1-118311333-62,48.86698089,-1.144933773,0.402110457,-2.847311609,0.004409018,0.059913658
Merged-chr1-118399950-39,23.94850284,-1.651213413,0.56608434,-2.916903534,0.003535251,0.053247936
Merged-chr1-119484634-31,8.316667505,-1.748760265,0.77073381,-2.268954912,0.023271068,0.145528782
Merged-chr1-119806197-12,6.145960237,-1.705599508,0.789933483,-2.159168517,0.030837096,NA
Merged-chr1-120265280-63,51.54508453,-1.208472166,0.403316201,-2.996339258,0.002732423,0.046321325
Merged-chr1-120449834-24,11.2043911,-1.718815314,0.715713722,-2.401540254,0.016326213,0.121127222
Merged-chr1-121419282-16,4.478498408,-2.499061653,0.829259887,-3.013604895,0.002581638,NA
Merged-chr1-126748112-13,17.33059551,-1.527097058,0.608527928,-2.509493794,0.012090434,0.10303414
Merged-chr1-126817888-53,29.76060245,-1.940360501,0.512197173,-3.788307711,0.000151677,0.009340868
Merged-chr1-127305921-53,39.5714039,-1.064142775,0.486054091,-2.189350519,0.028571373,0.162649708
