,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0465,0.5880533,-0.6723275184631348,False,,,,,,,,,,,,,,,,-0.49053895473480225
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0687,0.20443961,-1.2764806747436523,False,,,,,,,,,,,,,,,,0.1657659411430359
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0987,0.35110292,-0.47526276111602783,False,,,,,,,,,,,,,,,,0.016757667064666748
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.009,0.96203196,-1.3310096263885498,False,,,,,,,,,,,,,,,,-1.22066330909729
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0465,4.08519,-7.3587541580200195,False,,,,,,,,,,,,,,,,-5.077486515045166
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0129,0.26036498,-0.2272791862487793,False,,,,,,,,,,,,,,,,-0.13487327098846436
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0208,0.82515115,-0.5717083215713501,False,,,,,,,,,,,,,,,,-0.03401792049407959
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0305,0.003380333,-5.801819801330566,False,,,,,,,,,,,,,,,,-0.04015481472015381
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2028,0.05820294,-2.46317195892334,False,,,,,,,,,,,,,,,,-0.11601269245147705
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1745,0.07039381,0.24623894691467285,True,0.6063753077597466,3.823490615721201,0.2565191659703274,7.697012004364612,0.10184783887118103,0.044085465371608734,0.5125738382339478,0.3166080922306922,0.0,0.0,0.45003906763512225,0.11108558733887366,1.204127729709806,0.49031727588977236,2.7512831694102484,0.35191190242767334
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.062,30.243021,-1.0896306037902832,False,,,,,,,,,,,,,,,,-1.0885603427886963
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.1426,0.63828933,-1.3377230167388916,False,,,,,,,,,,,,,,,,-0.5857863426208496
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0587,0.89028704,-1.098684310913086,False,,,,,,,,,,,,,,,,-1.0461444854736328
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.2422,1.8614922,0.44793039560317993,True,0.10957626473893516,0.1691703782774517,0.26632472050907297,9.97858855602657,3.416574926376343,0.22528225183486938,0.09346716850996017,0.3119670609191297,0.0,0.0,0.1959243501767713,0.5212751958097688,0.23745688754294453,0.5684810926226996,2.3357077336755836,0.47564125061035156
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0495,0.97574395,-0.35383808612823486,False,,,,,,,,,,,,,,,,-0.34883081912994385
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.064,1.3411208,-0.8886252641677856,False,,,,,,,,,,,,,,,,-0.39411139488220215
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0717,0.17391716,0.051866114139556885,True,0.09056655342802071,0.5555784378261456,0.20634139731703008,12.661363404118768,0.7140468460321425,0.04503173381090164,0.0960172489285469,0.21740696791833433,0.0,0.0,0.35760176184144954,0.1295296394959894,0.2582468932317891,0.9398658427409601,3.2895646360190947,0.06623607873916626
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,-0.0211,0.22309256,-0.8192203044891357,False,,,,,,,,,,,,,,,,-0.17252254486083984
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0475,2.7247412,-0.606953501701355,False,,,,,,,,,,,,,,,,-0.5828537940979004
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0028,0.60560375,-0.348827600479126,False,,,,,,,,,,,,,,,,-0.334431529045105
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0438,32.225418,0.47770774364471436,False,0.029402639942978613,0.010071805152809808,0.25972441880634567,10.21492556808708,70.50873968124391,1.2342034578323364,0.030326133593916893,0.3019432431070072,0.0,0.0,0.08268325980787683,2.4897388854970197,0.09039543615654111,0.5820285018705808,2.439624443099643,0.5790363550186157
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0289,0.44214258,-0.26761841773986816,False,,,,,,,,,,,,,,,,-0.06430566310882568
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.2064,0.29863256,-0.2782477140426636,False,,,,,,,,,,,,,,,,0.14162176847457886
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,-0.0128,1.3113073,-0.8569149971008301,False,,,,,,,,,,,,,,,,-0.8542443513870239
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.1507,0.31562102,-0.8388674259185791,False,,,,,,,,,,,,,,,,-0.1560903787612915
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,0.0087,4.1980467,-2.0569560527801514,False,,,,,,,,,,,,,,,,-1.907186508178711
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0111,3.2118948,-6.15225076675415,False,,,,,,,,,,,,,,,,-5.162624359130859
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.1477,0.47130516,-0.2588235139846802,False,,,,,,,,,,,,,,,,-0.25864970684051514
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0437,0.31594458,-1.0918891429901123,False,,,,,,,,,,,,,,,,-0.2810173034667969
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.0515,0.51880085,-2.1877570152282715,False,,,,,,,,,,,,,,,,0.026061832904815674
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0198,6.225612,-5.470775604248047,False,,,,,,,,,,,,,,,,-3.749619960784912
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,-0.0226,0.2060443,-1.6983377933502197,False,,,,,,,,,,,,,,,,-0.7130807638168335
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.0816,0.026053278,-1.7472455501556396,False,,,,,,,,,,,,,,,,-0.06273996829986572
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,0.0146,1.2797867,-1.2403008937835693,False,,,,,,,,,,,,,,,,-1.2401118278503418
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1966,0.6546081,-1.3596758842468262,False,,,,,,,,,,,,,,,,-0.863771915435791
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0326,0.31184933,-1.1238937377929688,False,,,,,,,,,,,,,,,,-0.029122352600097656
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.047,0.8777146,-1.0727124214172363,False,,,,,,,,,,,,,,,,-1.0631804466247559
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.0363,1.0216013,-0.6140543222427368,False,,,,,,,,,,,,,,,,-0.48907017707824707
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0449,4.5246086,-4.493361949920654,False,,,,,,,,,,,,,,,,-3.9081530570983887
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,-0.0297,0.8236473,-1.030104637145996,False,,,,,,,,,,,,,,,,-0.061743855476379395
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0789,1.3872648,-1.485691785812378,False,,,,,,,,,,,,,,,,-1.4696273803710938
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0549,0.7761397,-1.7025432586669922,False,,,,,,,,,,,,,,,,-0.42542970180511475
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1166,0.5437554,-0.07235074043273926,False,,,,,,,,,,,,,,,,-0.04082632064819336
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.1336,0.16360837,-1.4797756671905518,False,,,,,,,,,,,,,,,,-0.04691672325134277
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,0.0107,0.5858269,-0.4752458333969116,False,,,,,,,,,,,,,,,,-0.2601134777069092
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0629,3.693721,0.08834773302078247,True,0.0733644426977926,0.13756918769194323,0.3358748246728917,6.330176388998959,1.7929398894309998,0.15216661989688873,0.038191452622413635,0.19069707670641597,0.0,0.0,0.27931497077502715,0.5019173727912978,0.10098515419642731,1.4718248737479687,1.824423305431242,0.3468064069747925
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1681,0.62322277,0.38511520624160767,True,0.18152534954865987,0.983430231888661,0.44609886066960036,5.553921727253157,0.2842318600416184,0.046878352761268616,0.07792941480875015,0.3339259874911898,0.0,0.0,0.12265295487480371,0.1215307061743227,0.20420840840208632,0.46593125161963184,1.609889996253378,0.6154336631298065
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,-0.0056,3.6810431,0.09035998582839966,False,0.040581642616642495,0.05682959487291363,0.14882306193168393,13.460840920722696,5.4132598206732006,0.21758563816547394,0.04966865852475166,0.30380484752148196,0.0,0.0,0.05187024011161651,0.636326529349451,0.15200826382778326,0.6129783247858824,3.951463007044939,0.199349045753479
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0735,0.17038949,-0.49595093727111816,False,,,,,,,,,,,,,,,,-0.22545874118804932
