,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0465,0.9416498,-0.25005340576171875,False
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0687,0.2382098,-1.7110788822174072,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0987,0.45059213,-0.16354680061340332,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.009,1.4696953,-0.7986578941345215,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0465,5.5897636,-4.611303806304932,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0129,0.24951574,0.255035936832428,True
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0208,0.5334409,-0.4170825481414795,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0305,0.003846698,-3.9966583251953125,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2028,0.05896489,-0.7738771438598633,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1745,0.09198905,0.007804274559020996,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.062,71.551765,-0.8968441486358643,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.1426,0.5727312,-1.2087149620056152,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0587,1.2206118,-0.16758573055267334,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.2422,2.4906232,0.4890819787979126,True
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0495,1.2341009,-1.1258785724639893,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.064,0.90592057,-1.7267889976501465,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0717,1.1381997,-0.29854369163513184,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,-0.0211,0.34168023,-2.7395803928375244,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0475,4.4092536,-1.2371103763580322,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0028,0.77415264,-1.095454454421997,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0438,36.535713,0.3311145305633545,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0289,0.6087334,-1.0650806427001953,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.2064,0.2980673,-0.6493556499481201,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,-0.0128,1.3556637,-1.0178089141845703,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.1507,0.24819101,-0.7733460664749146,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,0.0087,1.9592041,-2.1312904357910156,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0111,4.520073,-3.1712193489074707,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.1477,0.51279616,0.2402029037475586,True
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0437,0.33364853,-0.5737326145172119,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.0515,0.6858323,-1.718137264251709,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0198,8.503831,-1.4664998054504395,False
