UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
20	0
259	0
0	2
7	4
1	2
0	1
19	31
10	40
0	27
15	164
3	0
33	8
2	19
0	19
0	2
0	2
5	0
88	0
5	63
0	63
175	209
1	212
0	212
0	0
0	0
0	0
0	1
0	0
1	8
0	8
0	0
0	3
0	1
2	0
3	0
0	0
10	6
8051	489
9	42
0	38
0	4
2	0
2	0
1	0
7	14
4	339
5	215
47	33
0	3
0	2
1	2
0	0
0	1
4	5
0	0
0	18
0	14
5	514
0	154
66	33
0	2
0	1
0	3
0	2
0	0
0	2
3	5
0	2
0	9
0	6
0	6
6	10
2	28
0	26
7	658
0	0
0	8
0	0
0	2
0	2
2	0
0	0
0	0
1	12
5	210
0	187
0	59
0	54
0	5
0	5
1	0
0	1
0	1
0	0
0	3
0	3
0	5
0	6
0	27
1	23
2	3
0	2
0	78
0	78
0	0
0	0
0	2
0	2
16	0
16	0
33	0
19	0
16	101
0	19
582	0
32	126
5685	209
17	0
91	0
79	0
21	0
35	0
32	0
1	2
0	2
0	4
0	4
3	16
0	16
8	0
0	0
0	0
0	0
0	0
4	23
0	23
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	1
0	0
0	0
0	0
2	1
0	0
0	1
0	0
0	1
1	18
29	61
1	4
0	4
0	0
0	1
1	1
52	0
0	5
0	5
88	8
7	10
27	0
18	0
0	0
0	0
0	0
1	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	2
0	0
0	0
5	7
0	2
7	7
0	0
0	0
0	0
4	24
0	0
2	21
0	112
0	112
8	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	231
0	209
0	51
23	1
0	51
5	28
0	51
0	0
0	0
0	0
0	0
0	0
0	0
0	135
0	135
0	135
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
562	1709
133	1560
0	217
0	0
0	0
0	0
1	7
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	21
0	0
713	882
128	154
8	668
0	468
0	214
1	442
0	0
0	0
0	0
2	193
0	160
1	62
0	53
0	61
1	10
114	27
0	7
0	0
5	0
0	11
0	0
2	0
1	3
2	2
0	4
0	0
0	0
0	23
1	7
0	1
0	23
0	0
0	0
0	0
0	0
0	0
2	24
0	0
0	0
4	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
44	61
11	344
0	344
0	0
5	32
0	32
0	0
0	0
0	0
0	0
0	0
