name,337-10_f,337-11_f,337-12_f,337-13_f,337-14_f,337-15_f,337-16_f,337-17_f,337-18_f,337-19_f,337-1_f,337-20_f,337-21_f,337-22_f,337-23_f,337-24_f,337-2_f,337-3_f,337-4_f,337-5_f,337-6_f,337-7_f,337-8_f,337-9_f
ENSMUSE00000869502,7,1,0,7,4,4,3,12,5,0,13,1,1,0,1,0,42,2,8,16,23,7,10,2
ENSMUSE00001341225,11,6,12,46,6,5,23,47,13,5,66,15,31,0,4,17,20,4,11,52,18,4,18,48
ENSMUSE00001345397,16,12,44,27,17,24,31,37,26,6,59,19,39,0,15,11,29,15,23,33,25,12,23,22
ENSMUSE00000837314,227,231,696,281,103,525,676,504,414,313,776,557,280,0,366,336,513,221,491,690,701,225,658,182
ENSMUSE00001255376,224,221,687,275,100,508,661,497,402,308,764,537,277,0,359,327,499,214,475,681,684,219,641,176
ENSMUSE00000730558,616,733,2213,554,248,1410,1740,1052,1298,1027,1923,1586,727,0,929,835,1296,725,1488,1675,1729,570,1492,339
ENSMUSE00001230529,170,172,573,195,88,407,548,398,316,246,620,442,227,0,276,254,399,168,391,551,549,171,519,129
ENSMUSE00000777602,49,54,101,66,12,94,96,105,87,54,129,75,48,0,61,58,92,45,101,92,119,44,132,42
ENSMUSE00000703287,499,714,2238,351,188,1224,1531,758,1143,961,1805,1474,597,0,763,657,1067,668,1478,1384,1354,429,1283,198
ENSMUSE00001206040,493,710,2233,348,188,1221,1528,751,1137,957,1797,1472,593,0,759,654,1065,667,1472,1374,1348,428,1279,197
ENSMUSE00000747600,0,1,0,0,4,1,0,2,1,1,3,1,0,0,0,0,9,0,0,2,3,0,1,2
ENSMUSE00001338479,469,486,1801,1161,170,842,1633,2794,815,617,7792,1242,2203,0,643,657,834,485,1449,4217,1344,398,1809,693
ENSMUSE00000385288,468,486,1800,1157,167,843,1631,2791,815,617,7786,1241,2203,0,640,655,823,485,1448,4211,1334,394,1805,687
ENSMUSE00001342184,370,406,1506,943,125,683,1397,2508,640,503,7047,1060,1885,0,511,536,665,357,1214,3766,1087,308,1513,562
ENSMUSE00000230808,86,100,381,292,25,165,357,593,146,116,2363,301,437,0,106,122,140,73,276,1278,249,54,346,154
ENSMUSE00001341886,35,29,81,106,5,49,78,151,56,24,565,72,140,0,26,34,41,24,57,314,72,21,70,50
ENSMUSE00001345433,92,120,456,321,28,196,447,680,172,149,2823,345,507,0,136,145,170,94,309,1555,291,68,405,181
ENSMUSE00000154063,1,0,0,1,1,0,1,1,2,0,0,0,0,0,2,0,20,0,0,7,4,3,0,1
ENSMUSE00000554252,1,0,0,1,1,0,1,1,2,0,0,0,0,0,2,0,17,0,0,6,4,3,0,1
ENSMUSE00000863532,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,3,0,0,0
ENSMUSE00000863721,75,87,565,454,37,208,564,1442,131,86,3433,358,1037,0,134,240,161,49,391,2317,260,93,597,296
ENSMUSE00000230531,347,371,2309,1413,129,846,2565,3723,562,426,9000,1298,2742,0,572,1049,571,269,1486,5168,939,289,2331,811
ENSMUSE00000997941,135,151,844,497,39,351,973,1464,232,178,3182,458,1055,0,218,363,190,102,581,1924,304,91,855,249
ENSMUSE00000154068,271,280,1741,944,90,636,1991,2292,427,342,5553,938,1716,0,437,803,401,213,1093,2848,670,192,1738,508
ENSMUSE00000848395,39,51,356,216,10,139,417,565,104,67,1419,167,386,0,93,141,67,34,235,708,119,27,350,80
ENSMUSE00001276978,171,167,1050,539,68,377,1211,1206,240,195,2899,597,895,0,254,522,248,124,636,1427,433,130,1062,311
ENSMUSE00000858689,25,24,135,66,17,38,141,270,32,23,412,66,140,0,25,58,32,24,87,224,53,18,106,41
ENSMUSE00000850861,97,117,649,302,40,239,749,717,151,119,1716,402,556,0,167,321,158,85,432,871,287,94,692,192
ENSMUSE00000854166,7,12,67,36,0,21,85,35,9,13,112,54,44,0,22,54,19,11,48,71,40,15,92,16
ENSMUSE00001254227,13,18,75,33,6,23,91,38,7,15,101,46,35,0,26,44,11,8,47,49,32,8,69,34
ENSMUSE00001243306,46,49,348,164,15,108,438,253,61,59,831,207,197,0,95,183,60,35,191,430,126,29,356,98
ENSMUSE00001310124,24,21,217,97,6,69,258,172,48,32,595,134,133,0,51,107,34,19,118,306,77,19,220,52
ENSMUSE00001246930,17,23,144,85,7,40,179,114,21,23,416,78,77,0,33,65,29,19,86,203,60,11,152,35
ENSMUSE00001054859,1,2,7,5,15,2,6,5,2,3,19,2,7,0,0,0,33,1,5,20,16,4,9,3
ENSMUSE00001344827,0,1,3,1,2,1,4,0,0,1,7,2,3,0,0,0,1,0,1,5,2,0,0,3
ENSMUSE00000824119,74,61,210,43,99,260,359,65,58,121,167,159,61,0,367,197,319,61,139,228,323,175,363,47
ENSMUSE00000794948,74,61,210,43,99,260,359,65,58,121,167,159,61,0,367,197,319,61,139,228,323,175,363,47
ENSMUSE00000630855,9,3,11,7,31,25,24,10,7,4,31,10,8,0,28,16,106,6,7,59,59,20,42,8
ENSMUSE00000630853,9,3,11,7,31,25,24,10,7,4,31,10,8,0,28,16,106,6,7,59,59,20,42,8
ENSMUSE00000746001,1,0,3,1,6,2,1,3,1,0,7,2,0,0,4,1,13,0,1,7,3,3,6,0
ENSMUSE00000775067,1,2,2,3,9,6,3,3,0,0,4,3,0,0,2,1,14,0,0,6,9,3,7,3
ENSMUSE00001339810,8,0,6,9,2,4,9,2,3,6,13,5,1,0,7,6,14,7,8,17,10,8,7,8
