wilcoxon,t-test,t-test_overestim_var
Lgals1,Lgals1,Lgals1
S100a6,S100a6,S100a6
S100a4,S100a4,S100a4
S100a10,Gzmb,Gzmb
Gzmb,Ahnak,Ahnak
Ahnak,Ifng,S100a10
Hmgb2,Lgals3,Hmgb2
Sub1,Bhlhe40,Ifng
Actg1,Hmgb2,Lgals3
Ifng,Ctla2a,Bhlhe40
Crip1,Anxa2,Ly6c2
Nkg7,S100a10,Hopx
Bhlhe40,Serpinb6b,Ctla2a
Ly6c2,Ly6c2,Sub1
H2az1,Hopx,H2az1
Tmsb4x,Plek,Actg1
Ctla2a,Gzmk,Anxa2
Hopx,H2az1,Itga4
Cd48,Klrc1,Vim
Vim,Tmsb4x,Crip1
Lgals3,Vim,Serpinb6b
Itga4,Ybx3,Cd48
Abracl,Itgb1,Nkg7
Pycard,Ccl5,Plek
Txn1,Actg1,Tmsb4x
Klrc1,Itga4,Ybx3
Lsp1,Serpinb9,Txn1
Itgb1,Stmn1,Itgb1
Actb,Sub1,Pycard
Ctsd,Crip1,Ctsd
Plek,Gzma,Actb
Serpinb6b,Cd48,Ccl5
Anxa2,Klrk1,Abracl
Ccl5,Rora,Lsp1
Cdc42,Cks2,Serpinb9
Reep5,Pclaf,Klrc1
Rora,Nkg7,Gzmk
Cyba,1500009L16Rik,Reep5
Klrk1,Txn1,Id2
Id2,Mki67,Stmn1
Dnajc15,Lmnb1,Klrk1
Ybx3,Il18rap,Rora
Il18rap,Birc5,Cks2
Gapdh,Pycard,Pim1
S100a11,Id2,Cd28
Calm1,Slamf7,Gzma
Rbm3,Bcl2a1b,Gapdh
Cox5a,Ctsd,Lmnb1
Cox8a,Ccr2,Prr13
H3f3b,Actb,Dnajc15
Cox5b,Rrm2,Cyba
Serpinb9,Ccl4,S100a11
Gzmk,Cdca8,Cdc42
Pim1,Osbpl3,Bcl2a1b
Cd28,Tyms,S100a13
Clic1,Cks1b,Pclaf
Gzma,Reep5,1500009L16Rik
Dusp5,Klrc2,Rpa2
Dennd4a,Ccnb2,Rilpl2
Krtcap2,Top2a,Sept11
Bcl2a1b,Lsp1,Dennd4a
Myl6,Cxcr3,Slamf7
Ccl4,Anxa1,H3f3b
Prr13,Bcl2a1d,Cxcr3
S100a13,Dusp5,Birc5
Slamf7,Abracl,Mki67
Klrc2,Gna15,Il18rap
Rap1b,Cd28,Dusp5
Cfl1,Cdca3,Cox5a
Ppp1ca,Dennd4a,Cox5b
Tnfaip3,Gapdh,Calm1
Hint1,Mapre2,Tnfaip3
Cks2,Sdf2l1,Rrm2
Pfn1,Tbx21,Cks1b
Stmn1,Rpa2,Cox8a
Cxcr3,Ccna2,Efhd2
Rpa2,Klrg1,Il2rb
Rilpl2,Rilpl2,Rap1b
Chsy1,Spc24,Krtcap2
Sept11,Zeb2,Clic1
Ccr2,Pim1,Tyms
1810037I17Rik,Ptms,Rbm3
Lmnb1,Prr13,Sdf2l1
Ly6a,Runx2,Osbpl3
Prelid1,Sept11,Ccr2
Il2rb,Dut,Myl6
Gna15,Kif15,Ccl4
Prdx1,Tpx2,Gng2
Myo1f,Tnfaip3,Klrc2
Osbpl3,Chsy1,Dut
Efhd2,Ctla4,Cdca8
Runx2,Ncald,Top2a
Gng2,Tk1,Ccnb2
Il18r1,Hmmr,Gna15
Mapre2,S100a11,Chsy1
Cox6b1,Myo1f,Mapre2
Arpc5,Asf1b,Ptms
Gnai2,Kif11,Pfkp
Ptms,Mt1,Myo1f
Ube2s,S100a13,1810037I17Rik
Ybx1,Cenpw,Cdca3
Dek,Casp3,Bcl2a1d
Zyx,Adap1,Ly6a
Pfkp,Zbtb32,Prelid1
Arl6ip1,Ube2c,Runx2
Arpc2,Uhrf1,Casp3
1500009L16Rik,H1f5,Ube2s
Icos,Ccl3,Ccna2
Sumo2,Acot7,Spc24
Dusp2,Il2rb,Cox17
Rgs1,Efhd2,Pfn1
Btf3,Havcr2,Zyx
Nr4a2,Cyba,Ppp1ca
Hsp90b1,Carhsp1,Anxa1
Sh3bgrl3,Gmnn,Cenpw
Rac2,Cdk1,Cenpa
Dut,Dnajc15,Acot7
Cox7c,Rgs1,Ezh2
Calm3,Cenpe,Tbx21
Cox17,Tacc3,Cfl1
Prf1,Cdc42,Ctla4
Arpc3,Cenpa,Icos
Bcl2a1d,Ccr5,Hsp90b1
Ywhah,Pik3ap1,Hint1
Acot7,Fignl1,Dusp2
Ppib,Nr4a2,Kif15
Top2a,Gng2,Mcm6
Srgn,Ccdc50,Gmnn
Ccdc50,Ezh2,Asf1b
Klf6,Icos,Prf1
Casp3,Smc2,Ccdc50
Sdf2l1,Hells,Il18r1
Oaz1,Cox5a,Rgs1
Cox4i1,Ube2s,Tk1
Zeb2,Rrm1,Klrg1
Mki67,Ccnb1,Nr4a2
Ccl3,Dapk2,Srgn
Atp5pb,Cox5b,Ncald
Tbx21,H3f3b,Alyref
Ywhae,Mcm5,Tpx2
Capzb,Lig1,Klf6
Hsp90aa1,Cdkn3,Dek
Pclaf,Ncapg,Calm3
Ube2l3,Hip1,Smc2
Ostf1,Clspn,Racgap1
Slc25a5,Fabp5,Prdx1
Tmem14c,Dtl,Ywhah
Atxn1,Mcm6,Zbtb32
Alyref,Pfkp,Mt1
Anxa6,Ncapg2,Zeb2
Polr1d,Rad51,Arpc5
Birc5,Bub1,Rrm1
Ctla4,Il18r1,Hsp90aa1
Anxa1,Itgax,Ube2c
Rps27l,Cx3cr1,Eif4e2
Cd47,Rap1b,Mcm5
Hspa8,Cenpm,Uhrf1
Ywhaq,Myl6,Hmmr
Hmgb1,Hsp90b1,Rac2
Ccr5,Calm1,Pkm
Cenpa,Prdx4,Ybx1
Pglyrp1,Cdc20,Ap2s1
Dynll1,Prf1,Tipin
Cks1b,Knl1,Phf11b
Mbd2,Racgap1,Arl6ip1
Tyms,Rbm3,Lig1
Sytl3,Nsd2,Arpc2
Manf,Zyx,Anxa6
Rexo2,Krtcap2,Tacc3
Calm2,Tipin,Hells
Hspa5,Emp1,Kif11
Nap1l1,Mt3,Ccr5
Tagln2,H1f4,Adap1
Phf11b,Cenph,Ccl3
Ap2s1,1810037I17Rik,Nsd2
Mcm6,Cenpk,Ostf1
Pkm,Prelid1,Dtl
Racgap1,Zdhhc2,S1pr4
Atp5j,Hsp90aa1,Gnai2
Rrm2,Clic1,Mbd2
Txndc5,Cdc25b,Hif1a
Ncald,Nuf2,Cox6b1
S1pr4,Cox8a,Cdk1
Ndufb9,Alyref,Carhsp1
Klrg1,Prc1,Rexo2
Arf1,Atp2b4,H1f5
Atpif1,Ly6a,Atpif1
Ezh2,Bub1b,Havcr2
Psmd8,Cox17,Fabp5
Trav14-1,Ska1,Clspn
Psmb3,H2ac8,Rps27l
Eif4e2,Plk1,Manf
Fkbp1a,E2f8,Sytl3
Sec61b,Kif4,Ywhaq
Mrpl18,Gins2,Etfb
Anp32b,Cenpf,Sh3bgrl3
Hif1a,Hist1h2ap,Dctpp1
Hprt,Mad2l1,Ube2l3
Cdca8,Dusp2,Cdc25b
Cdc25b,Shcbp1,Ube2n
Snx10,Pkm,Hmgn2
Cenpw,Wdr95,Ccnb1
Ccnb2,E2f2,Ywhae
Dapk2,Phlda1,Cenpe
Dbi,Ywhah,Arpc3
Pgk1,Dek,Fignl1
H2-Q10,Klf6,H1f4
Cdca3,Incenp,Tmem14c
Ube2n,Cdc45,Polr1d
Atp5c1,Hmgb3,Calm2
Pdia3,Phf11b,Spn
Ube2c,Tmem163,Ncapg2
Atp5d,Dctpp1,Rad51
Ldha,Prdm1,Itgb2
Snrpd1,Rom1,Pik3ap1
Rbbp8,Sytl3,Capzb
Vmp1,Calm3,Dapk2
Phlda1,Pfn1,Prdx4
Nsd2,Stx11,Arf1
Gmnn,Prdx1,Atxn1
Tipin,Rbbp8,Fkbp1a
Myl12a,Hmgn2,H2-Q10
Pik3ap1,Ppp1ca,Pglyrp1
Actr3,Depdc1a,Psmd8
Itgb2,Mcm3,Txndc5
Smc2,Chaf1a,Btf3
Etfb,Ybx1,Trav14-1
Snrpe,Rad51ap1,Ncapg
Ndufb8,Eif4e2,Cenpm
Spn,Pglyrp1,Rbbp8
Cox7a2,Cfl1,Glrx
Spc24,Fasl,Mad2l1
Nptn,Atxn1,Mcm3
Mt1,H2-Q10,Nptn
Selenok,Stard10,Cd47
Hmgn2,H4c9,Cdkn3
Ndufa4,Snx10,Vmp1
Anp32e,Aurkb,Cenpk
Glrx,Srgn,Nap1l1
Psma4,Hint1,Hprt
Ccna2,Atpif1,Hspa8
Pcna,Rexo2,Sumo2
Slbp,Esco2,Oaz1
Ube2g2,Kif22,Mrpl18
Chchd2,Txndc5,Ppib
Zbtb32,Glrx,Cdc20
Asf1b,Cep55,Hip1
Smdt1,Mcm10,Ppil1
Ran,Trav14-1,Pcna
Cd44,Rps27l,Knl1
Itgal,Esm1,Phlda1
Snx3,Etfb,E2f2
Cmtm7,Tpi1,Slbp
Ndufb7,Nusap1,Smap1
Mcm5,Hif1a,Cmc2
Ap3s1,Ap2s1,Incenp
Rrm1,Manf,Itgal
H1f4,Arl6ip1,Cenph
Smap1,Ppil1,Bub1
