peak_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
Merged-chr1-105663744-65,103.2529938,0.8431822529999999,0.325072743,2.59382637,0.009491441,0.142000116,Pign
Merged-chr1-105663744-65,103.2529938,0.8431822529999999,0.325072743,2.59382637,0.009491441,0.142000116,2310035C23Rik
Merged-chr1-106321581-41,22.90932432,-1.466807992,0.52265,-2.806482332,0.005008566,0.108751681,Phlpp1
Merged-chr1-111864620-131,109.61796140000001,-0.911717445,0.34186745,-2.666874091,0.007656035,0.127573119,Dsel
Merged-chr1-119487061-15,3.985882782,-1.772213887,0.680335867,-2.6049102680000003,0.009189832,nan,Inhbb
Merged-chr1-119487061-15,3.985882782,-1.772213887,0.680335867,-2.6049102680000003,0.009189832,nan,Ralb
Merged-chr1-119487061-15,3.985882782,-1.772213887,0.680335867,-2.6049102680000003,0.009189832,nan,Tmem185b
Merged-chr1-119487061-15,3.985882782,-1.772213887,0.680335867,-2.6049102680000003,0.009189832,nan,3830432H09Rik
Merged-chr1-119487061-15,3.985882782,-1.772213887,0.680335867,-2.6049102680000003,0.009189832,nan,Epb41l5
Merged-chr1-120055687-61,35.83988746,-1.159750472,0.425540397,-2.725359287,0.006423155,0.119446771,Cfap221
Merged-chr1-120055687-61,35.83988746,-1.159750472,0.425540397,-2.725359287,0.006423155,0.119446771,Sctr
Merged-chr1-120055687-61,35.83988746,-1.159750472,0.425540397,-2.725359287,0.006423155,0.119446771,Tmem37
Merged-chr1-120055687-61,35.83988746,-1.159750472,0.425540397,-2.725359287,0.006423155,0.119446771,Dbi
Merged-chr1-120055687-61,35.83988746,-1.159750472,0.425540397,-2.725359287,0.006423155,0.119446771,3110009E18Rik
Merged-chr1-120449834-24,7.766589085,-1.7381038430000002,0.660843815,-2.630128031,0.008535272,nan,Marco
Merged-chr1-127349004-37,24.5701706,-1.5801268480000001,0.496743882,-3.180968918,0.001467834,0.063485603,Mgat5
Merged-chr1-130629883-31,9.990102801,-2.794752175,0.662824369,-4.216429426,2.48e-05,nan,Zp3r
Merged-chr1-130629883-31,9.990102801,-2.794752175,0.662824369,-4.216429426,2.48e-05,nan,C4bp
Merged-chr1-130629883-31,9.990102801,-2.794752175,0.662824369,-4.216429426,2.48e-05,nan,C4bp-ps1
Merged-chr1-130629883-31,9.990102801,-2.794752175,0.662824369,-4.216429426,2.48e-05,nan,Pfkfb2
Merged-chr1-130629883-31,9.990102801,-2.794752175,0.662824369,-4.216429426,2.48e-05,nan,Yod1
Merged-chr1-131138487-81,29.78825147,1.28531198,0.453743558,2.832683699,0.0046159040000000005,0.105875016,Mapkapk2
Merged-chr1-131138487-81,29.78825147,1.28531198,0.453743558,2.832683699,0.0046159040000000005,0.105875016,Dyrk3
Merged-chr1-131138487-81,29.78825147,1.28531198,0.453743558,2.832683699,0.0046159040000000005,0.105875016,Eif2d
Merged-chr1-131138487-81,29.78825147,1.28531198,0.453743558,2.832683699,0.0046159040000000005,0.105875016,Rassf5
Merged-chr1-13301699-56,23.01944772,-2.203197926,0.54832215,-4.018072085,5.870000000000001e-05,0.013294081999999999,Ncoa2
Merged-chr1-134063588-30,35.96276747,1.190938424,0.430105822,2.7689428119999997,0.005623851,0.113991985,Fmod
Merged-chr1-134063588-30,35.96276747,1.190938424,0.430105822,2.7689428119999997,0.005623851,0.113991985,Btg2
Merged-chr1-134063588-30,35.96276747,1.190938424,0.430105822,2.7689428119999997,0.005623851,0.113991985,Chit1
Merged-chr1-134093495-127,79.20412713,1.090681513,0.340829589,3.200078713,0.001373901,0.062124285,Fmod
Merged-chr1-134093495-127,79.20412713,1.090681513,0.340829589,3.200078713,0.001373901,0.062124285,Btg2
Merged-chr1-134093495-127,79.20412713,1.090681513,0.340829589,3.200078713,0.001373901,0.062124285,Chit1
Merged-chr1-134093495-127,79.20412713,1.090681513,0.340829589,3.200078713,0.001373901,0.062124285,Chil1
Merged-chr1-136415353-94,40.79931409,1.084706628,0.40715691,2.6640997619999998,0.007719467,0.12818212,Camsap2
Merged-chr1-136415353-94,40.79931409,1.084706628,0.40715691,2.6640997619999998,0.007719467,0.12818212,9230116N13Rik
Merged-chr1-136415353-94,40.79931409,1.084706628,0.40715691,2.6640997619999998,0.007719467,0.12818212,Ddx59
Merged-chr1-136415353-94,40.79931409,1.084706628,0.40715691,2.6640997619999998,0.007719467,0.12818212,Kif14
Merged-chr1-137900366-3,5.070779862,1.7987149530000002,0.6883721759999999,2.612997759,0.008975189,nan,Mir181a-1
Merged-chr1-137900366-3,5.070779862,1.7987149530000002,0.6883721759999999,2.612997759,0.008975189,nan,Mir181b-1
