,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0465,0.8363998,-0.3372519016265869,False
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0687,0.19633804,-0.9136652946472168,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0987,0.41762432,-0.4649266004562378,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.009,1.092091,-0.7886492013931274,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0465,5.529459,-4.037084579467773,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0129,0.27266464,-0.04715836048126221,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0208,0.758533,-0.5577406883239746,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0305,0.0035573675,-3.081997871398926,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2028,0.054985467,-1.2959330081939697,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1745,0.0653651,0.1898026466369629,True
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.062,33.98517,-0.8892066478729248,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.1426,0.5596928,-1.110978603363037,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0587,1.0867172,-0.6129209995269775,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.2422,2.0961728,0.45628994703292847,True
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0495,1.0227693,-0.5950186252593994,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.064,1.1844256,-0.8447268009185791,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0717,0.31308997,0.17921018600463867,True
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,-0.0211,0.27312455,-1.350123643875122,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0475,3.2100558,-1.027240514755249,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0028,0.6347025,-0.8042334318161011,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0438,33.528305,0.4902799129486084,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0289,0.42088538,-0.3209812641143799,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.2064,0.26560178,-0.16691958904266357,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,-0.0128,1.4859495,-0.8536111116409302,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.1507,0.24221213,-0.6317726373672485,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,0.0087,2.788818,-1.7544772624969482,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0111,4.4405427,-3.88720703125,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.1477,0.49369028,0.1935250163078308,True
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0437,0.29649898,-0.5998914241790771,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.0515,0.5701987,-1.2879815101623535,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0198,6.5531635,-3.017730712890625,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,-0.0226,0.27828062,-2.7617266178131104,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.0816,0.029768454,-1.2109837532043457,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,0.0146,0.82851493,-0.9691535234451294,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1966,0.84572816,-0.330971360206604,False
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0326,0.37568888,-1.3998303413391113,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.047,0.8522527,-0.5499668121337891,False
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.0363,1.014861,-0.6049833297729492,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0449,4.2833843,-3.6303110122680664,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,-0.0297,0.94261295,-0.4462343454360962,False
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0789,2.0020804,-1.0026237964630127,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0549,0.6733319,-0.7415947914123535,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1166,0.48069575,0.1371191143989563,True
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.1336,0.15723422,-0.740202784538269,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,0.0107,0.7135435,-0.6384024620056152,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0629,3.1879601,0.04581177234649658,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1681,0.7067523,0.39454585313796997,True
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,-0.0056,3.2267365,0.03393524885177612,True
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0735,0.22812448,-0.8678268194198608,False
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0841,2.422612,-2.786318063735962,False
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0989,2.0222726,-0.8388588428497314,False
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0398,1.7447584,-0.80156409740448,False
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,-0.0703,0.8965593,-0.5257525444030762,False
Dock10,ENSMUSG00000038608,1,80758527,80501073,-,-0.0294,9.199521,-6.914845943450928,False
Trip12,ENSMUSG00000026219,1,84840516,84721189,-,-0.0388,1.3143183,-1.4592955112457275,False
Sp110,ENSMUSG00000070034,1,85598817,85576899,-,-0.0453,0.08879072,-1.2674670219421387,False
A630001G21Rik,ENSMUSG00000052760,1,85778643,85717083,-,-0.0118,1.1837894,-0.2855328321456909,False
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,0.1617,0.058345623,-0.27620136737823486,False
Hjurp,ENSMUSG00000044783,1,88277633,88262471,-,0.0349,0.34790388,0.3525041341781616,True
Ilkap,ENSMUSG00000026309,1,91398815,91373861,-,0.0182,0.19375822,-0.6356818675994873,False
Hdac4,ENSMUSG00000026313,1,92195699,91928779,-,-0.0974,1.226584,-0.1545555591583252,False
Ndufa10,ENSMUSG00000026260,1,92473860,92439010,-,0.136,0.17280379,-1.812929630279541,False
Cops9,ENSMUSG00000073616,1,92641985,92637145,-,0.1506,0.03830991,-6.971594333648682,False
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,0.1264,0.46789455,-0.7275213003158569,False
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,0.108,0.4617428,0.41531485319137573,True
St8sia4,ENSMUSG00000040710,1,95667571,95587682,-,-0.0484,2.0530717,-0.720781683921814,False
D1Ertd622e,ENSMUSG00000044768,1,97662074,97606318,-,0.0048,0.12787925,-0.7799875736236572,False
Bcl2,ENSMUSG00000057329,1,106714274,106538178,-,-0.1678,2.2709205,0.8039864152669907,True
Vps4b,ENSMUSG00000009907,1,106796728,106764071,-,0.0098,1.0217724,-0.36805057525634766,False
Tsn,ENSMUSG00000026374,1,118311739,118294778,-,0.0815,0.104308255,-2.8698010444641113,False
Ptpn4,ENSMUSG00000026384,1,119837613,119652467,-,-0.0116,1.8067529,-1.2281033992767334,False
Dbi,ENSMUSG00000026385,1,120121078,120113280,-,0.3449,0.013412149,-2.152524948120117,False
Insig2,ENSMUSG00000003721,1,121332589,121304353,-,-0.0603,0.7419016,-0.6425094604492188,False
Ddx18,ENSMUSG00000001674,1,121567989,121553835,-,-0.0634,0.1722249,-0.28981852531433105,False
Actr3,ENSMUSG00000026341,1,125435727,125392905,-,0.2374,0.090350464,-0.4405517578125,False
Tmem163,ENSMUSG00000026347,1,127679548,127486546,-,0.1472,9.556826,0.42795783281326294,True
Mcm6,ENSMUSG00000026355,1,128359664,128331590,-,0.2142,0.19803359,0.4154295325279236,True
Dars,ENSMUSG00000026356,1,128417368,128363707,-,0.0592,0.36470327,-0.9351685047149658,False
Cd55,ENSMUSG00000026399,1,130462744,130439027,-,-0.1023,0.44080693,0.4596163034439087,True
Mapkapk2,ENSMUSG00000016528,1,131097826,131053700,-,0.0272,1.0749961,-0.3756437301635742,False
Ikbke,ENSMUSG00000042349,1,131279606,131254343,-,-0.0965,0.7200249,-0.21680688858032227,False
