,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0465,0.5880533,-0.6723275184631348,False
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0687,0.20443961,-1.2764806747436523,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0987,0.35110292,-0.47526276111602783,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.009,0.96203196,-1.3310096263885498,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0465,4.08519,-7.3587541580200195,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0129,0.26036498,-0.2272791862487793,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0208,0.82515115,-0.5717083215713501,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0305,0.003380333,-5.801819801330566,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2028,0.05820294,-2.46317195892334,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1745,0.07039381,0.24623894691467285,True
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.062,30.243021,-1.0896306037902832,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.1426,0.63828933,-1.3377230167388916,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0587,0.89028704,-1.098684310913086,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.2422,1.8614922,0.44793039560317993,True
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0495,0.97574395,-0.35383808612823486,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.064,1.3411208,-0.8886252641677856,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0717,0.17391716,0.051866114139556885,True
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,-0.0211,0.22309256,-0.8192203044891357,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0475,2.7247412,-0.606953501701355,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0028,0.60560375,-0.348827600479126,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0438,32.225418,0.47770774364471436,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0289,0.44214258,-0.26761841773986816,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.2064,0.29863256,-0.2782477140426636,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,-0.0128,1.3113073,-0.8569149971008301,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.1507,0.31562102,-0.8388674259185791,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,0.0087,4.1980467,-2.0569560527801514,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0111,3.2118948,-6.15225076675415,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.1477,0.47130516,-0.2588235139846802,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0437,0.31594458,-1.0918891429901123,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.0515,0.51880085,-2.1877570152282715,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0198,6.225612,-5.470775604248047,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,-0.0226,0.2060443,-1.6983377933502197,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.0816,0.026053278,-1.7472455501556396,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,0.0146,1.2797867,-1.2403008937835693,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1966,0.6546081,-1.3596758842468262,False
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0326,0.31184933,-1.1238937377929688,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.047,0.8777146,-1.0727124214172363,False
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.0363,1.0216013,-0.6140543222427368,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0449,4.5246086,-4.493361949920654,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,-0.0297,0.8236473,-1.030104637145996,False
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0789,1.3872648,-1.485691785812378,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0549,0.7761397,-1.7025432586669922,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1166,0.5437554,-0.07235074043273926,False
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.1336,0.16360837,-1.4797756671905518,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,0.0107,0.5858269,-0.4752458333969116,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0629,3.693721,0.08834773302078247,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1681,0.62322277,0.38511520624160767,True
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,-0.0056,3.6810431,0.09035998582839966,True
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0735,0.17038949,-0.49595093727111816,False
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0841,9.106589,-1.161424160003662,False
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0989,2.2425096,-1.1233439445495605,False
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0398,1.6384885,-0.610670804977417,False
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,-0.0703,1.1507928,-1.1168453693389893,False
Dock10,ENSMUSG00000038608,1,80758527,80501073,-,-0.0294,10.395345,-9.576533317565918,False
Trip12,ENSMUSG00000026219,1,84840516,84721189,-,-0.0388,1.121477,-1.6197965145111084,False
Sp110,ENSMUSG00000070034,1,85598817,85576899,-,-0.0453,0.07831982,-0.9322689771652222,False
A630001G21Rik,ENSMUSG00000052760,1,85778643,85717083,-,-0.0118,1.1150813,-0.9362512826919556,False
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,0.1617,0.07779451,-1.232618808746338,False
Hjurp,ENSMUSG00000044783,1,88277633,88262471,-,0.0349,0.36320245,0.4314897656440735,True
Ilkap,ENSMUSG00000026309,1,91398815,91373861,-,0.0182,0.3021654,-1.2160258293151855,False
Hdac4,ENSMUSG00000026313,1,92195699,91928779,-,-0.0974,1.1459383,-0.12634718418121338,False
Ndufa10,ENSMUSG00000026260,1,92473860,92439010,-,0.136,0.1905778,-2.0270724296569824,False
Cops9,ENSMUSG00000073616,1,92641985,92637145,-,0.1506,0.031364895,-4.927870273590088,False
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,0.1264,0.42416382,-0.7305207252502441,False
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,0.108,0.38807172,0.4847308397293091,True
St8sia4,ENSMUSG00000040710,1,95667571,95587682,-,-0.0484,1.6681855,-1.0315027236938477,False
D1Ertd622e,ENSMUSG00000044768,1,97662074,97606318,-,0.0048,0.13617577,-0.2912435531616211,False
Bcl2,ENSMUSG00000057329,1,106714274,106538178,-,-0.1678,2.3932583,0.6031248569488525,True
Vps4b,ENSMUSG00000009907,1,106796728,106764071,-,0.0098,1.3869442,-1.0520284175872803,False
Tsn,ENSMUSG00000026374,1,118311739,118294778,-,0.0815,0.078556076,-1.21755051612854,False
Ptpn4,ENSMUSG00000026384,1,119837613,119652467,-,-0.0116,2.6129882,-1.519080638885498,False
Dbi,ENSMUSG00000026385,1,120121078,120113280,-,0.3449,0.016803913,-4.70720911026001,False
Insig2,ENSMUSG00000003721,1,121332589,121304353,-,-0.0603,0.5064941,-0.39465951919555664,False
Ddx18,ENSMUSG00000001674,1,121567989,121553835,-,-0.0634,0.18725555,-2.694127082824707,False
Actr3,ENSMUSG00000026341,1,125435727,125392905,-,0.2374,0.11436648,-0.7614330053329468,False
Tmem163,ENSMUSG00000026347,1,127679548,127486546,-,0.1472,10.217073,0.07122474908828735,True
Mcm6,ENSMUSG00000026355,1,128359664,128331590,-,0.2142,0.18751165,0.2298164963722229,True
Dars,ENSMUSG00000026356,1,128417368,128363707,-,0.0592,0.3382941,-0.41861867904663086,False
Cd55,ENSMUSG00000026399,1,130462744,130439027,-,-0.1023,0.55445457,-0.344632625579834,False
Mapkapk2,ENSMUSG00000016528,1,131097826,131053700,-,0.0272,0.80441725,-0.13363027572631836,False
Ikbke,ENSMUSG00000042349,1,131279606,131254343,-,-0.0965,0.41292584,-0.31466758251190186,False
Srgap2,ENSMUSG00000026425,1,131527352,131285251,-,-0.0002,6.616202,-0.9864166975021362,False
Snrpe,ENSMUSG00000090553,1,133610291,133603871,-,0.2839,0.047256332,-1.477853775024414,False
Lax1,ENSMUSG00000051998,1,133690108,133679091,-,-0.0507,0.9705549,0.1963481307029724,True
Atp2b4,ENSMUSG00000026463,1,133801041,133699457,-,-0.0137,2.129317,0.10811281204223633,True
