,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm
Atp6v1h,ENSMUSG00000033793,Gene Expression,502,True,0.29738525,0.507908,0.29733512
Rb1cc1,ENSMUSG00000025907,Gene Expression,489,True,0.34132916,0.6789553,0.88480896
Pcmtd1,ENSMUSG00000051285,Gene Expression,424,True,0.29728487,0.62783974,0.70924896
Sgk3,ENSMUSG00000025915,Gene Expression,132,True,0.10072224,0.4918565,0.29964077
Cspp1,ENSMUSG00000056763,Gene Expression,395,True,0.24185681,0.62664175,0.6581759
Lactb2,ENSMUSG00000025937,Gene Expression,274,True,0.1539042,0.48411947,0.27905995
Mcm3,ENSMUSG00000041859,Gene Expression,675,True,0.51142824,0.7489536,1.1252228
Ogfrl1,ENSMUSG00000026158,Gene Expression,96,True,0.060578793,0.47426113,0.2528363
Lmbrd1,ENSMUSG00000073725,Gene Expression,246,True,0.14735346,0.60729086,0.6067016
Zfp451,ENSMUSG00000042197,Gene Expression,226,True,0.14632733,0.57175034,0.5121622
Hs6st1,ENSMUSG00000045216,Gene Expression,60,True,0.049648,0.58552635,0.548807
Neurl3,ENSMUSG00000047180,Gene Expression,324,True,0.27031463,0.70195127,0.9637901
Arid5a,ENSMUSG00000037447,Gene Expression,332,True,0.2300867,0.53683376,0.41928244
Kansl3,ENSMUSG00000010453,Gene Expression,376,True,0.21377487,0.49520624,0.30855125
Lman2l,ENSMUSG00000001143,Gene Expression,124,True,0.08260158,0.46462995,0.2272169
Cnnm3,ENSMUSG00000001138,Gene Expression,101,True,0.06475069,0.53990865,0.42746177
Actr1b,ENSMUSG00000037351,Gene Expression,419,True,0.2383854,0.4623549,0.22116515
Mgat4a,ENSMUSG00000026110,Gene Expression,118,True,0.07664267,0.5145436,0.35998952
Mitd1,ENSMUSG00000026088,Gene Expression,687,True,0.458319,0.5392587,0.40501136
Rev1,ENSMUSG00000026082,Gene Expression,107,True,0.07118609,0.45898047,0.21218902
Aff3,ENSMUSG00000037138,Gene Expression,113,True,0.090872414,0.5712545,0.5108432
Gm16152,ENSMUSG00000087131,Gene Expression,114,True,0.0952512,0.5490091,0.45166937
Rnf149,ENSMUSG00000048234,Gene Expression,280,True,0.17392631,0.521908,0.37957916
Map4k4,ENSMUSG00000026074,Gene Expression,738,True,0.49761435,0.63240474,0.7249278
Il18r1,ENSMUSG00000026070,Gene Expression,731,True,0.48277044,0.659913,0.8194068
Il18rap,ENSMUSG00000026068,Gene Expression,556,True,0.3354557,0.55667424,0.46482617
Tgfbrap1,ENSMUSG00000070939,Gene Expression,114,True,0.070950985,0.46005058,0.21503556
Slc39a10,ENSMUSG00000025986,Gene Expression,88,True,0.052125633,0.48551565,0.28277385
Stat1,ENSMUSG00000026104,Gene Expression,1160,True,1.0388463,1.3506584,1.0642599
Mfsd6,ENSMUSG00000041439,Gene Expression,117,True,0.08310621,0.7252885,0.9205809
Pgap1,ENSMUSG00000073678,Gene Expression,63,True,0.035042513,0.48265064,0.27515277
Maip1,ENSMUSG00000025971,Gene Expression,415,True,0.23880117,0.4713152,0.24499999
Kctd18,ENSMUSG00000054770,Gene Expression,202,True,0.12401866,0.593653,0.5704243
Cflar,ENSMUSG00000026031,Gene Expression,724,True,0.46289968,0.49957243,0.26870605
Stradb,ENSMUSG00000026027,Gene Expression,103,True,0.0671384,0.9701244,1.5718559
G730003C15Rik,ENSMUSG00000097573,Gene Expression,17,True,0.014146993,0.64747894,0.7136038
Als2,ENSMUSG00000026024,Gene Expression,28,True,0.019670557,0.78867424,1.0891899
Nop58,ENSMUSG00000026020,Gene Expression,846,True,0.5950746,0.5345973,0.2565885
Carf,ENSMUSG00000026017,Gene Expression,54,True,0.043458734,0.6325926,0.6740055
Nbeal1,ENSMUSG00000073664,Gene Expression,112,True,0.0883036,0.94864464,1.5147188
Cyp20a1,ENSMUSG00000049439,Gene Expression,229,True,0.1089153,0.61044896,0.6151023
Cd28,ENSMUSG00000026012,Gene Expression,1174,True,0.93863446,1.0606434,0.65832627
Icos,ENSMUSG00000026009,Gene Expression,583,True,0.37108728,0.6602538,0.8205774
Gm4208,ENSMUSG00000100426,Gene Expression,43,True,0.037944876,1.2029248,2.191116
Gm20342,ENSMUSG00000101599,Gene Expression,128,True,0.07468269,0.5673292,0.5004018
Klf7,ENSMUSG00000025959,Gene Expression,470,True,0.3368097,0.6476066,0.77713966
