,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0465,0.9416498,-0.25005340576171875,False,,,,,,,,,,,,,,,,-0.22236847877502441
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0687,0.2382098,-1.7110788822174072,False,,,,,,,,,,,,,,,,0.05908125638961792
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0987,0.45059213,-0.16354680061340332,False,,,,,,,,,,,,,,,,0.1560605764389038
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.009,1.4696953,-0.7986578941345215,False,,,,,,,,,,,,,,,,-0.45155537128448486
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0465,5.5897636,-4.611303806304932,False,,,,,,,,,,,,,,,,-3.3408446311950684
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0129,0.24951574,0.255035936832428,True,0.5034201594303358,1.1398889209604945,0.23435499690438527,14.374368411710808,0.12061683721840383,0.12402726709842682,0.48585987091064453,0.39911582468736523,0.0,0.0,0.4390194590924487,0.3033638765149684,1.3847118585274139,0.33059695318882315,3.3343383430267437,0.5172117352485657
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0208,0.5334409,-0.4170825481414795,False,,,,,,,,,,,,,,,,-0.36938750743865967
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0305,0.003846698,-3.9966583251953125,False,,,,,,,,,,,,,,,,-0.026215314865112305
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2028,0.05896489,-0.7738771438598633,False,,,,,,,,,,,,,,,,-0.16445159912109375
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1745,0.09198905,0.007804274559020996,False,,,,,,,,,,,,,,,,0.07179921865463257
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.062,71.551765,-0.8968441486358643,False,,,,,,,,,,,,,,,,-0.8943561315536499
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.1426,0.5727312,-1.2087149620056152,False,,,,,,,,,,,,,,,,-0.9721797704696655
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0587,1.2206118,-0.16758573055267334,False,,,,,,,,,,,,,,,,-0.15769648551940918
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.2422,2.4906232,0.4890819787979126,True,0.09256877211609442,0.14531710243369808,0.2523569947631806,9.188061493964943,3.7082358598709106,0.22481344640254974,0.09093816578388214,0.31037646668587987,0.0,0.0,0.35283511943480284,0.5025097954457927,0.22068231732680882,0.48793555779589404,2.5052420319997863,0.49290621280670166
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0495,1.2341009,-1.1258785724639893,False,,,,,,,,,,,,,,,,-0.9301496744155884
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.064,0.90592057,-1.7267889976501465,False,,,,,,,,,,,,,,,,-1.6554715633392334
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0717,1.1381997,-0.29854369163513184,False,,,,,,,,,,,,,,,,0.1425381898880005
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,-0.0211,0.34168023,-2.7395803928375244,False,,,,,,,,,,,,,,,,-0.0046759843826293945
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0475,4.4092536,-1.2371103763580322,False,,,,,,,,,,,,,,,,-1.2198154926300049
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0028,0.77415264,-1.095454454421997,False,,,,,,,,,,,,,,,,-1.026841640472412
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0438,36.535713,0.3311145305633545,False,0.03434067424926318,0.010981308065161665,0.30217938792588356,12.701286366822195,67.50194569587708,1.3139697313308716,0.03372425213456154,0.31775809411801054,0.0,0.0,4.310382195019547e-05,2.765474136238,0.0817019860340475,0.5395860781495341,1.8012299431920615,0.33174633979797363
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0289,0.6087334,-1.0650806427001953,False,,,,,,,,,,,,,,,,-0.06795299053192139
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.2064,0.2980673,-0.6493556499481201,False,,,,,,,,,,,,,,,,0.11797696352005005
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,-0.0128,1.3556637,-1.0178089141845703,False,,,,,,,,,,,,,,,,-1.0169923305511475
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.1507,0.24819101,-0.7733460664749146,False,,,,,,,,,,,,,,,,-0.7689123153686523
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,0.0087,1.9592041,-2.1312904357910156,False,,,,,,,,,,,,,,,,-2.12076735496521
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0111,4.520073,-3.1712193489074707,False,,,,,,,,,,,,,,,,-2.8478736877441406
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.1477,0.51279616,0.2402029037475586,True,0.21781399671953602,0.42289278343792386,0.1593195323566455,14.704377006649304,0.25308316960930827,0.15049982070922852,0.2809794247150421,0.36101746839591997,0.0,0.0,0.28299574126653404,0.339600636114511,0.7202263763495561,0.37172212659124787,4.20454470772617,0.3956957459449768
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0437,0.33364853,-0.5737326145172119,False,,,,,,,,,,,,,,,,0.05161619186401367
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.0515,0.6858323,-1.718137264251709,False,,,,,,,,,,,,,,,,0.003467559814453125
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0198,8.503831,-1.4664998054504395,False,,,,,,,,,,,,,,,,-1.0984184741973877
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,-0.0226,0.3105838,-2.778702735900879,False,,,,,,,,,,,,,,,,-0.24484694004058838
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.0816,0.027727505,-0.4953364133834839,False,,,,,,,,,,,,,,,,-0.1799767017364502
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,0.0146,0.99772716,-0.7067326307296753,False,,,,,,,,,,,,,,,,-0.6938552856445312
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1966,1.0433607,-0.16492879390716553,False,,,,,,,,,,,,,,,,-0.006960034370422363
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0326,0.3487035,-0.7375421524047852,False,,,,,,,,,,,,,,,,-0.26525306701660156
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.047,1.2831755,-0.8754407167434692,False,,,,,,,,,,,,,,,,-0.28478991985321045
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.0363,0.83220714,-0.894227147102356,False,,,,,,,,,,,,,,,,-0.8694342374801636
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0449,4.866365,-3.873612880706787,False,,,,,,,,,,,,,,,,-3.588322162628174
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,-0.0297,0.85761064,-0.5219272375106812,False,,,,,,,,,,,,,,,,-0.1271519660949707
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0789,1.8907605,-0.510143518447876,False,,,,,,,,,,,,,,,,-0.44392287731170654
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0549,0.5803632,-0.8005409240722656,False,,,,,,,,,,,,,,,,-0.6711161136627197
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1166,0.50382185,0.2920389771461487,True,0.08143301220493604,0.31379660742142174,0.14076268747058346,12.349411388624382,1.0153054444491862,0.10526761412620544,0.11430800706148148,0.2366307259535232,0.0,0.0,0.25012503994844926,0.28220859532669834,0.2999834844457178,0.8244224175163719,3.2956747154382335,0.3212156891822815
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.1336,0.14849408,-0.26989030838012695,False,,,,,,,,,,,,,,,,0.07541167736053467
