,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.26845887,0.3112412095069885,True,0.27372993694990794,1.1560185808977097,0.4113539714333316,10.038943541486702,0.23762967914342883,0.07454753667116165,0.14587657153606415,0.2785127988936617,0.0,0.0,0.1845169372088396,0.2070797864090377,0.41161247602952966,0.5957223716190347,1.5562186756119214
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.8795879,-0.07307970523834229,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6847926,-0.9536997079849243,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.3230035,0.13945579528808594,True,0.2889972170563271,0.8015894594343795,0.3019287905092697,14.042448375012905,0.6400770351290703,0.11948233097791672,0.2646028399467468,0.28780616984397067,0.0,0.0,0.37186126720627416,0.31127296536678456,0.7654694113238105,0.6073984781855208,2.499615046684985
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3969115,-0.09516215324401855,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.763923,-4.559683322906494,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.4643961,-0.4823402166366577,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.7867505,-0.1701420545578003,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.003654556,-1.0544486045837402,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.1959176,-4.947517395019531,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.089084476,-0.2237764596939087,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.114715226,0.7110844254493713,True,3.23987872413568,5.323450584272485,0.4904815434992976,7.3741474656158035,0.05308823799714446,0.1874200403690338,1.6680902242660522,0.48405239092513097,0.0,0.0,0.47450673427739387,0.3894957240556431,4.28978797298824,0.20867002174130475,1.5922856290028462
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.5232164,-0.48058950901031494,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,120.95627,-0.33432793617248535,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.20707987,-0.22669148445129395,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5482543,-0.12637865543365479,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.078346536,-3.245774745941162,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.2163762,-1.112459421157837,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.8319876,0.3375459909439087,True,0.1503432588200037,0.06655583262704842,0.2251016644901914,6.687339821324385,10.646758139133453,0.8617053031921387,0.13799576461315155,0.382651095394176,0.0,0.0,0.3595376389090672,2.4515843718970043,0.33763574161727367,0.3194272581162915,1.9908867198043099
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.21506509,-0.010982394218444824,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.0814745,-1.0719103813171387,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.304705,-1.140172004699707,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.7127438,-1.4327869415283203,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.7134047,0.3852272033691406,True,0.08104864476697102,0.12683880206552534,0.16514437583756564,16.07872131915858,2.0597266107797614,0.23123981058597565,0.13752736151218414,0.2049253180616949,0.0,0.0,0.3511863459607194,0.7548425169609615,0.3937175072135468,1.2540505404394229,4.688936778257854
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.67962205,-1.1242554187774658,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.307482,-1.0494637489318848,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.9599707,-0.9154849052429199,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.042807333,-4.4353156089782715,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,2.239891,-0.5136281251907349,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.4082701,-0.2881258726119995,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.7016511,-0.24037039279937744,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.07863385,-1.6270215511322021,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,5.173844,-0.2483351230621338,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,13.5743,0.6862037181854248,True,0.08658379892942039,0.008449065791980702,0.14625713684922956,21.12187832130538,28.43086814880371,3.1290087699890137,0.11005674302577972,0.2580520359202261,0.0,0.0,0.403704890396075,9.735297662621585,0.3461422376426997,0.6925600755427161,4.241005235126144
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.6800478,0.009616971015930176,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.41267353,-0.36703383922576904,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.2920614,-0.2070251703262329,False,,,,,,,,,,,,,,,
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.7904273,-1.5174272060394287,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.38246116,-0.4513126611709595,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.50297093,-0.11854743957519531,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.7331248,-0.44846880435943604,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,3.4794323,-1.7763750553131104,False,,,,,,,,,,,,,,,
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,4.7426195,-5.418209552764893,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.78405195,-0.1646268367767334,False,,,,,,,,,,,,,,,
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,2.7564843,-0.05871152877807617,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.24103123,-0.43340325355529785,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.8071544,-0.7622842788696289,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.6415167,-0.7089136838912964,False,,,,,,,,,,,,,,,
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.6873381,-1.0586278438568115,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.6119834,-0.6435515880584717,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,7.18104,-2.2061994075775146,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.34302002,-0.938948392868042,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.012190967,-0.3294951915740967,False,,,,,,,,,,,,,,,
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.513168,-0.3555922508239746,False,,,,,,,,,,,,,,,
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,4.407945,-0.23845338821411133,False,,,,,,,,,,,,,,,
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.3523556,-0.4295305013656616,False,,,,,,,,,,,,,,,
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.363162,-1.529832363128662,False,,,,,,,,,,,,,,,
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.2964216,-1.4915552139282227,False,,,,,,,,,,,,,,,
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.26945314,-0.892916202545166,False,,,,,,,,,,,,,,,
