,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm,mean,std
Atp6v1h,ENSMUSG00000033793,Gene Expression,502,True,0.2973852861430778,0.5079074289131382,0.29733455,1.780592131699987e-11,0.37857761856808714
Rb1cc1,ENSMUSG00000025907,Gene Expression,489,True,0.3413290721680713,0.6789556674824968,0.88481134,1.066272715123267e-10,0.4206378228664716
Pcmtd1,ENSMUSG00000051285,Gene Expression,424,True,0.2972848926276588,0.6278393722680504,0.70924896,-3.309888219861808e-10,0.38970490206218816
Sgk3,ENSMUSG00000025915,Gene Expression,132,True,0.10072223104133679,0.49185665036638904,0.2996412,1.4600508385957105e-10,0.2343460790452673
Cspp1,ENSMUSG00000056763,Gene Expression,395,True,0.24185681934427086,0.6266418515434773,0.6581762,1.8215492216689144e-10,0.35131879099087093
Prex2,ENSMUSG00000048960,Gene Expression,3,True,0.0024557389850074873,0.4389899472968152,0.15901327,7.447064101010712e-12,0.03679169003914244
Lactb2,ENSMUSG00000025937,Gene Expression,274,True,0.15390417534561768,0.48411952108210893,0.27906007,-1.2661988492088796e-10,0.27095502032427804
Ube2w,ENSMUSG00000025939,Gene Expression,229,True,0.14108125803998442,0.42333347977216984,0.11736633,-1.91040528126252e-10,0.2663742570037192
Mcm3,ENSMUSG00000041859,Gene Expression,675,True,0.5114283624812397,0.7489529917545058,1.125222,-5.764189772152375e-10,0.4579013426712161
Paqr8,ENSMUSG00000025931,Gene Expression,6,True,0.006297278086801,0.7479093272320914,0.98075336,4.333566673202804e-11,0.060856225591197785
Khdc1a,ENSMUSG00000067750,Gene Expression,4,True,0.005556476716716122,1.0761110594054777,1.8537854,2.942109605037542e-11,0.058577129983915455
Gm26580,ENSMUSG00000097109,Gene Expression,4,True,0.002710916437408199,0.5016168496665084,0.32560378,-2.0339707391348777e-11,0.038226371528349845
Ogfrl1,ENSMUSG00000026158,Gene Expression,96,True,0.06057878908656941,0.4742613715298321,0.2528369,1.43280396094689e-10,0.17709429663468654
Lmbrd1,ENSMUSG00000073725,Gene Expression,246,True,0.14735344321551247,0.60729100372621,0.606702,4.442802979680279e-12,0.2721999252618266
Zfp451,ENSMUSG00000042197,Gene Expression,226,True,0.14632734597042485,0.5717501139994576,0.51216155,4.442802979680279e-12,0.27725919552782896
Dst,ENSMUSG00000026131,Gene Expression,4,True,0.0041929143068938956,0.9733000605767972,1.5803033,4.707077423127577e-11,0.05091170753882332
Arhgef4,ENSMUSG00000037509,Gene Expression,58,True,0.035223068424304456,0.44733099687320044,0.18120085,5.553503724600349e-13,0.13713807481920398
Hs6st1,ENSMUSG00000045216,Gene Expression,60,True,0.049647997293422244,0.5855265117806668,0.54880744,-5.067572148697818e-11,0.16735004651435553
Neurl3,ENSMUSG00000047180,Gene Expression,324,True,0.27031469084948306,0.7019504732915587,0.96378857,-6.107118627146446e-11,0.38231314919399517
Arid5a,ENSMUSG00000037447,Gene Expression,332,True,0.23008673220680823,0.5368336814958592,0.4192822,1.4661249832944922e-10,0.3467874787582847
Kansl3,ENSMUSG00000010453,Gene Expression,376,True,0.213774780201474,0.49520684321286407,0.30855286,3.109962085776195e-11,0.32348864925160903
Lman2l,ENSMUSG00000001143,Gene Expression,124,True,0.08260156745214522,0.46462970980098184,0.22721624,-1.6188463357210018e-10,0.2108350902258112
Cnnm3,ENSMUSG00000001138,Gene Expression,101,True,0.06475069100341274,0.5399087029623691,0.42746192,1.0051841741526632e-10,0.1859346888858548
Cox5b,ENSMUSG00000061518,Gene Expression,1688,True,1.9481333054750198,1.0058232529017173,0.153211,-2.873938177480681e-10,0.6340269534199057
Actr1b,ENSMUSG00000037351,Gene Expression,419,True,0.23838552508737593,0.46235395013168545,0.22116262,1.2217708194120767e-10,0.33445157707255213
Mgat4a,ENSMUSG00000026110,Gene Expression,118,True,0.07664268452820078,0.5145435268961763,0.35998935,-2.610146750562164e-11,0.20233397569666273
Mitd1,ENSMUSG00000026088,Gene Expression,687,True,0.45831906169263187,0.5392583795439602,0.4050115,-3.804150051351239e-11,0.46961708232126714
