,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.47809958,-0.08649134635925293,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.25224933,-0.6571853160858154,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.87260616,-1.139389991760254,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.44756597,-0.37569987773895264,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.4555954,0.1405014991760254,True,0.20364544573586202,0.1594265437830959,0.2045166150013471,15.681427516640515,0.7905596911907196,0.20842057466506958,0.127424418926239,0.24215149618023848,0.0,0.0,0.13211113254195722,0.9821995397720654,0.695622202137421,1.1248776446998545,3.83487709341913
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.09875,-17.337356567382812,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.4983898,-0.7976411581039429,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.87329066,-1.113330364227295,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0030033044,-3.318984031677246,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,11.398798,-3.1509833335876465,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08509574,-0.2152317762374878,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.0860878,0.8249744772911072,True,2.59753366169734,7.647941404044502,0.6187613753768234,10.947854725313103,0.03634142730385065,0.09878025203943253,1.2843103408813477,0.5741960242417493,0.0,0.0,0.4863204052867779,0.2757147368075115,3.0773439178692885,0.1415551246391777,1.6190713272182773
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.5116291,-0.6113007068634033,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,120.25426,-0.6918652057647705,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.43132266,-1.02290940284729,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.4732882,-0.20396065711975098,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.0642604,-1.4403388500213623,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.4742182,-4.358916759490967,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,5.4667625,0.21049726009368896,True,0.08794030803196767,0.06801643150889636,0.19797328429716332,15.218345241807462,4.192705023288727,0.5179598927497864,0.11890567094087601,0.07407400857318358,0.0,0.0,0.41009252124542295,1.6359082112702639,0.33873067322540384,0.2347835825608443,3.1140243747177085
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.4419141,-0.6086854934692383,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.9364281,-0.538641095161438,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.361936,-1.5779955387115479,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,2.0412738,-0.030568599700927734,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.8093889,0.39553284645080566,True,0.04187756801984126,0.137630161786579,0.21491837685721202,20.03890144363486,2.6312476229667663,0.10635053366422653,0.05729292705655098,0.28300742656635336,0.0,0.0,0.15300327022160942,0.3122216885558361,0.1464989962666456,0.6652286368983293,3.821046234328029
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,1.1665952,-1.7549161911010742,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.38680252,-0.9462741613388062,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.1944768,-2.009517192840576,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.043910008,-4.336841583251953,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.2111349,-1.2212774753570557,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,0.89459085,-0.41797685623168945,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.4363874,-0.23179638385772705,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.07626324,-2.363368511199951,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,3.620078,-0.7367871999740601,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,19.904823,0.3963317275047302,True,0.1123862336937539,0.007579064543159982,0.11622804480489118,24.719979071094883,25.079981676737468,4.280679702758789,0.21904078125953674,0.4529303276702708,0.0,0.0,0.3164476156646313,13.678399846792132,0.5890518564024363,0.27269090497893106,6.751443761434474
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,1.0088311,-0.7542200088500977,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.4983296,-0.21041548252105713,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.31639442,0.3005257844924927,True,0.2906623464747147,1.001612007550001,0.3303947720772741,19.025524008700927,0.15108524568378925,0.07669462263584137,0.23985274136066437,0.35568691186876517,0.0,0.0,0.3486108873230695,0.21540768171097077,0.5598111803611291,0.45059153866482193,3.1223403062626507
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.7020278,-0.7939133644104004,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.36715674,-1.5831687450408936,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.42989114,-0.2719191312789917,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.39079475,-1.0067074298858643,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,6.555336,-1.4673008918762207,False,,,,,,,,,,,,,,,
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,4.216744,-4.435571193695068,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,1.0770429,-0.9943768978118896,False,,,,,,,,,,,,,,,
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,2.1122398,-1.302896499633789,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.29802316,-0.4443387985229492,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.8407317,-0.38691067695617676,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.5927824,0.4698651432991028,True,1.6406799961684324,0.5124428353838207,0.2878597370320029,19.314124313592597,0.4325260072946548,0.5795018672943115,1.0048561096191406,0.22322736986077688,0.0,0.0,0.47178126052237634,2.8759020501549366,4.881464355978473,1.4442541868418965,3.383791628677821
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.8804305,-0.6687389612197876,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.8927095,-0.30072104930877686,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,8.0807,-2.1597769260406494,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.2571528,-0.7823158502578735,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.01943736,0.22697454690933228,True,0.8975691122030526,7.492961312865114,0.12598684118196235,18.724832176848427,0.029621137037045425,0.03622737154364586,1.4744237661361694,0.3017062358613998,0.0,0.0,0.4880037586167792,0.10131614434223427,4.2594195645431,0.6108922977925552,5.43165294719885
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.38650483,-0.34052157402038574,False,,,,,,,,,,,,,,,
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,4.349496,-1.3571321964263916,False,,,,,,,,,,,,,,,
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.1629565,-0.34816157817840576,False,,,,,,,,,,,,,,,
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.6587411,-2.3460347652435303,False,,,,,,,,,,,,,,,
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.4668604,-0.5025104284286499,False,,,,,,,,,,,,,,,
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.24192451,-2.238105297088623,False,,,,,,,,,,,,,,,
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,1.1600841,0.10521912574768066,True,0.06453614629978549,0.11911276939962302,0.13532656225860126,26.82568116513899,0.6146400773525238,0.12027816474437714,0.09931205213069916,0.3143804301692387,0.0,0.0,0.2524834750813678,0.3324522453915757,0.2842814939032341,0.5441549445154282,6.6018788510590936
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,1.3179861,-0.8275876045227051,False,,,,,,,,,,,,,,,
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,2.971043,-1.7176587581634521,False,,,,,,,,,,,,,,,
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.44473886,-0.5526137351989746,False,,,,,,,,,,,,,,,
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,4.315238,-6.530887126922607,False,,,,,,,,,,,,,,,
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,18.038345,-8.406548500061035,False,,,,,,,,,,,,,,,
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,0.0274,0.3925551,-0.49641311168670654,False,,,,,,,,,,,,,,,
Raph1,ENSMUSG00000026014,1,60567104,60482292,-,0.0546,4.6620474,-1.0921728610992432,False,,,,,,,,,,,,,,,
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0481,2.9338255,-2.9908342361450195,False,,,,,,,,,,,,,,,
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0689,0.69263804,0.0031812191009521484,False,,,,,,,,,,,,,,,
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1428,1.8156155,-1.7205772399902344,False,,,,,,,,,,,,,,,
Mettl21a,ENSMUSG00000025956,1,64617242,64606473,-,0.009,0.4228229,-2.9904255867004395,False,,,,,,,,,,,,,,,
Plekhm3,ENSMUSG00000051344,1,64956824,64785983,-,-0.0257,19.496893,-3.4981937408447266,False,,,,,,,,,,,,,,,
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,0.0008,0.5916339,-0.48773622512817383,False,,,,,,,,,,,,,,,
Kansl1l,ENSMUSG00000026004,1,66817562,66719248,-,-0.022,7.4737625,-2.370134115219116,False,,,,,,,,,,,,,,,
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.2298,0.167732,-0.8882304430007935,False,,,,,,,,,,,,,,,
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,-0.0089,0.36650917,0.2055802345275879,True,0.11435414714424742,0.8280200966199198,0.1831498979266704,20.154655767815715,0.34297880083322524,0.04132399708032608,0.12650984525680542,0.2269901229069574,0.0,0.0,0.34794277874501744,0.11312122038675199,0.38619646137772967,0.9115172956238181,3.6972698047171604
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0297,2.1337256,0.21556222438812256,True,0.21254349619257135,0.0686785247072731,0.12844054044887027,15.369318987335406,1.257560504078865,0.5671564340591431,0.26045095920562744,0.26116660503030414,0.0,0.0,0.26477164154269694,2.164095685622115,0.7629112358494052,0.7584077772756633,6.368143524559633
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1687,1.7907805,0.8990163430571556,True,0.1489089555223462,0.226509370309941,0.32896785230469655,11.074791381520436,2.6293418383598333,0.2600152790546417,0.13795137405395508,0.47380822263380684,0.0,0.0,0.35989081837922876,0.6930401688260581,0.29938589927644055,0.2416959391174037,2.1533972248267945
Mreg,ENSMUSG00000039395,1,72212307,72159442,-,-0.0106,0.0,0.0,False,,,,,,,,,,,,,,,
Pecr,ENSMUSG00000026189,1,72284314,72259167,-,0.0158,0.22044827,-0.8708248138427734,False,,,,,,,,,,,,,,,
Aamp,ENSMUSG00000006299,1,74284738,74279840,-,-0.0204,0.060741983,-3.9454174041748047,False,,,,,,,,,,,,,,,
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,0.0575,4.723144,0.38562124967575073,True,0.16238833064636043,0.06337370232325969,0.23115343455475737,10.97826300185719,2.506159472465515,0.7122132778167725,0.13214609026908875,0.28803759793567557,0.0,0.0,0.27321798717940154,2.456605180448663,0.36672987297562687,0.6754763353409851,2.8262308711221533
Zfp142,ENSMUSG00000026135,1,74588246,74565127,-,-0.0118,0.90406364,-0.5876798629760742,False,,,,,,,,,,,,,,,
Rnf25,ENSMUSG00000026171,1,74601397,74593748,-,-0.0325,1.1181836,-0.5918807983398438,False,,,,,,,,,,,,,,,
Nhej1,ENSMUSG00000026162,1,75125200,74967139,-,0.0699,0.45066038,-0.4108082056045532,False,,,,,,,,,,,,,,,
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0577,0.25570044,-3.325244426727295,False,,,,,,,,,,,,,,,
Atg9a,ENSMUSG00000033124,1,75192196,75180860,-,-0.0469,0.50760204,-0.26789021492004395,False,,,,,,,,,,,,,,,
Tuba4a,ENSMUSG00000026202,1,75219865,75214228,-,0.1993,0.034264762,-1.7250444889068604,False,,,,,,,,,,,,,,,
Dnpep,ENSMUSG00000026209,1,75317990,75307896,-,0.0488,0.07051737,-2.9983303546905518,False,,,,,,,,,,,,,,,
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0844,0.8762456,-0.9300558567047119,False,,,,,,,,,,,,,,,
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0606,3.624174,-0.9468626976013184,False,,,,,,,,,,,,,,,
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0818,0.89299154,-2.7152810096740723,False,,,,,,,,,,,,,,,
Serpine2,ENSMUSG00000026249,1,79861180,79794197,-,0.0564,0.5192354,-1.4685368537902832,False,,,,,,,,,,,,,,,
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,0.0308,1.5310068,-0.8971742391586304,False,,,,,,,,,,,,,,,
Dock10,ENSMUSG00000038608,1,80758527,80501073,-,-0.0708,19.156782,-0.917310357093811,False,,,,,,,,,,,,,,,
Trip12,ENSMUSG00000026219,1,84840516,84721189,-,-0.0368,1.9062496,-0.3201568126678467,False,,,,,,,,,,,,,,,
Sp110,ENSMUSG00000070034,1,85598817,85576899,-,-0.1564,0.09824119,-0.04142022132873535,False,,,,,,,,,,,,,,,
A630001G21Rik,ENSMUSG00000052760,1,85778643,85717083,-,-0.0502,1.0416353,0.6995227038860321,True,0.3322543902679596,0.34451530462723984,0.3222370161905465,20.04309470963428,0.49199000090360645,0.24912284314632416,0.2392539381980896,0.36034498292697187,0.0,0.0,0.430270911547466,0.7546387531178717,0.7388320711666141,0.4225310390615386,2.6548972509479682
Gpr55,ENSMUSG00000049608,1,85961007,85938318,-,-0.0092,0.54549485,0.14290088415145874,True,0.0896466113856761,0.34269473498969055,0.24597128028867765,14.06788380390941,1.388664722442627,0.0830952599644661,0.08975736796855927,0.2615660374223024,0.0,0.0,0.12322239121831602,0.2128165365885425,0.2649904815480113,0.7119106423967905,2.8368014057747235
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,0.3456,0.041771248,-2.7996561527252197,False,,,,,,,,,,,,,,,
Pde6d,ENSMUSG00000026239,1,86582629,86542994,-,-0.0156,3.8703263,-0.8994870185852051,False,,,,,,,,,,,,,,,
Usp40,ENSMUSG00000005501,1,88008551,87945119,-,-0.0333,4.057395,-2.0299227237701416,False,,,,,,,,,,,,,,,
Hjurp,ENSMUSG00000044783,1,88277633,88262471,-,0.0629,0.57619643,0.631965845823288,True,0.48506966534291124,1.15280982940259,0.5507818424361235,8.573034251534896,0.22863548889756202,0.10075460374355316,0.20822030305862427,0.44735193688152225,0.0,0.0,0.4483050313591449,0.26765511086960886,0.7004913459692536,0.25495276719447096,1.70730534628751
Arl4c,ENSMUSG00000049866,1,88702221,88673125,-,-0.0968,0.2938861,-0.48566246032714844,False,,,,,,,,,,,,,,,
Ilkap,ENSMUSG00000026309,1,91398815,91373861,-,0.1238,0.52540684,-1.1270456314086914,False,,,,,,,,,,,,,,,
Hdac4,ENSMUSG00000026313,1,92195699,91928779,-,-0.0913,3.1564996,-0.7714362144470215,False,,,,,,,,,,,,,,,
Ndufa10,ENSMUSG00000026260,1,92473860,92439010,-,0.1287,0.15988117,-1.9519402980804443,False,,,,,,,,,,,,,,,
Cops9,ENSMUSG00000073616,1,92641985,92637145,-,0.0781,0.024426034,-4.917618274688721,False,,,,,,,,,,,,,,,
Mterf4,ENSMUSG00000026273,1,93305915,93299211,-,0.003,0.19903928,-1.2361021041870117,False,,,,,,,,,,,,,,,
Pask,ENSMUSG00000026274,1,93343482,93308770,-,0.0895,1.5280848,0.7079893350601196,True,0.026235689253181142,0.12940312529513498,0.22439419218395518,13.131503988818071,2.600813556909561,0.06671059131622314,0.03456323221325874,0.3018441830069083,0.0,0.0,0.02362762446212998,0.15729168061169568,0.085614205289889,0.5247698832393182,3.8131640432634013
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,0.2369,0.39767465,-0.14925003051757812,False,,,,,,,,,,,,,,,
Stk25,ENSMUSG00000026277,1,93658659,93619751,-,-0.0315,0.22446373,-2.724626302719116,False,,,,,,,,,,,,,,,
Thap4,ENSMUSG00000026279,1,93754864,93701935,-,0.0178,0.39527726,-0.7625685930252075,False,,,,,,,,,,,,,,,
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,0.1976,0.56651,0.5303139984607697,True,0.24573288261418572,0.38236790432771023,0.19390910080407692,24.69698127973053,0.23215273395180702,0.13654935359954834,0.27791863679885864,0.4196450623499717,0.0,0.0,0.4149434154465752,0.3669557315310319,0.98860199955003,0.28232428588760783,5.0694084041954515
Pdcd1,ENSMUSG00000026285,1,94052553,94038305,-,0.1159,0.40505552,-0.8753740787506104,False,,,,,,,,,,,,,,,
St8sia4,ENSMUSG00000040710,1,95667571,95587682,-,-0.0566,2.050691,-0.6147736310958862,False,,,,,,,,,,,,,,,
D1Ertd622e,ENSMUSG00000044768,1,97662074,97606318,-,-0.0049,0.24332105,0.3409607410430908,True,0.16531287288016183,1.0936061380703743,0.3054943548433229,10.802565289583514,0.16624386861920357,0.03879556059837341,0.10851489752531052,0.30109841002028576,0.0,0.0,0.23545007800068357,0.10221379077877683,0.3202623948454857,0.5039299206288104,2.3514164020687067
Ppip5k2,ENSMUSG00000040648,1,97770411,97706048,-,0.0158,1.2688088,-0.8907966613769531,False,,,,,,,,,,,,,,,
Pam,ENSMUSG00000026335,1,98095646,97795114,-,-0.0168,0.0,-7.478262901306152,False,,,,,,,,,,,,,,,
Pign,ENSMUSG00000056536,1,105663677,105518422,-,-0.0193,5.052474,-1.8914194107055664,False,,,,,,,,,,,,,,,
Bcl2,ENSMUSG00000057329,1,106714274,106538178,-,-0.167,3.8973713,0.6585061550140381,True,0.42814533483478573,0.050343412417421685,0.1954152825581368,15.698031065063127,2.3284285998344423,2.2513110637664795,0.4495992064476013,0.3116740009859023,0.0,0.0,0.4789566358774524,7.621643440848858,1.2462960291525413,0.5054653162707953,3.6469561719471932
Kdsr,ENSMUSG00000009905,1,106759727,106720459,-,-0.0828,0.7661056,-0.3898547887802124,False,,,,,,,,,,,,,,,
Vps4b,ENSMUSG00000009907,1,106796728,106764071,-,-0.0084,2.3832388,-0.8797849416732788,False,,,,,,,,,,,,,,,
Tsn,ENSMUSG00000026374,1,118311739,118294778,-,0.2497,0.08712804,-0.3320578336715698,False,,,,,,,,,,,,,,,
Ptpn4,ENSMUSG00000026384,1,119837613,119652467,-,-0.0821,4.3805614,-7.236198425292969,False,,,,,,,,,,,,,,,
Dbi,ENSMUSG00000026385,1,120121078,120113280,-,0.3636,0.0071225865,-1.3923861980438232,False,,,,,,,,,,,,,,,
Insig2,ENSMUSG00000003721,1,121332589,121304353,-,-0.0075,0.508948,0.030211448669433594,True,0.07365187808440936,0.515401245156852,0.2618589471736611,17.12183391867112,1.1750965696573257,0.057759881019592285,0.0723782405257225,0.22910270751686326,0.0,0.0,0.12258019318966962,0.16091484664363623,0.2347255277543746,1.052586891272682,2.644558115990243
Ddx18,ENSMUSG00000001674,1,121567989,121553835,-,0.0742,0.19510372,-0.258350133895874,False,,,,,,,,,,,,,,,
Actr3,ENSMUSG00000026341,1,125435727,125392905,-,0.2331,0.2484051,-0.5873240232467651,False,,,,,,,,,,,,,,,
Tmem163,ENSMUSG00000026347,1,127679548,127486546,-,0.0301,15.286929,0.6523385643959045,True,0.09415024304433361,0.01737572961678686,0.2582418692250738,15.32110337689852,20.41785283088684,1.7112852334976196,0.10267114639282227,0.29077176341563643,0.0,0.0,0.32915685225886704,6.370013189941836,0.2706067722997275,0.5402830692563451,3.2062566724614703
Zranb3,ENSMUSG00000036086,1,128103047,127954184,-,0.0442,1.8657453,0.2949000597000122,True,0.02666814015955997,0.07822438581354828,0.19065769953867437,7.436710407600712,6.753868657350541,0.12605053186416626,0.02514900639653206,0.31482659843081867,0.0,0.0,0.21304061234950045,0.2420821991644554,0.05713967597593778,0.46831745544841763,2.1861865176649626
Mcm6,ENSMUSG00000026355,1,128359664,128331590,-,0.4204,0.43108457,0.8064414113759995,True,1.910249350757156,0.9464226142135121,0.3561593032471428,9.805230317167286,0.23980222374200816,0.5935173034667969,1.1694508790969849,0.5201795861383308,0.0,0.0,0.4821731657088899,1.770953927924005,3.0354702087311907,0.20662113166169224,1.9674119561184389
Dars,ENSMUSG00000026356,1,128417368,128363707,-,0.1538,0.49824917,-1.0147082805633545,False,,,,,,,,,,,,,,,
Cxcr4,ENSMUSG00000045382,1,128592293,128588199,-,-0.0379,0.044345833,-0.4469175338745117,False,,,,,,,,,,,,,,,
Cd55,ENSMUSG00000026399,1,130462744,130439027,-,-0.1072,0.81070036,-0.6170518398284912,False,,,,,,,,,,,,,,,
Mapkapk2,ENSMUSG00000016528,1,131097826,131053700,-,0.0171,1.5394918,-0.7010031938552856,False,,,,,,,,,,,,,,,
