annotated_genes,Cl13_P2,Cl13_P4,Cl13_P9,Cl13_P10,order - total 323
Itgae,0.03134563505263748,0.01925000279291058,-0.005710169324091852,0.030381406062505556,10
Sell,0.3147980218679072,0.06418927329964585,-0.02607083737258346,0.1362309307802114,28
Prdm1,0.05024982543856767,0.04574250181368351,0.01177824103605934,-0.057940227649130725,34
Cd69,0.2801075004910935,-0.25043226315319544,-0.37667668320109093,-0.47796075756140116,61
Tcf7,0.6253148460999531,0.3752218096647462,0.4643212360183282,0.26930253353301137,112
Id3,0.001908278439659378,0.0008348558800585908,0.0009964375125796668,0.00010543079521977116,117
Ccr9,0.09897728549017941,0.08393206123529777,0.04821421550544226,0.03854844854467249,132
Slamf6,0.25668300719247245,0.2537144432108851,-0.14308610725899293,-0.25672429719513035,146
Id2,0.9624658911772325,1.0403262445024608,-0.511916417612948,-0.5038826118176306,189
Tbx21,0.10523633497471699,0.11265716040727825,0.11509203310792053,0.09270248851095371,226
Zeb2,0.1637691210724174,0.200316438979718,0.516591974406553,0.736610085067943,290
