,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.55170643,-0.8067203760147095,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.44724694,-0.15456199645996094,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.7090688,-0.9067751169204712,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.39081848,-0.08062386512756348,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2878835,-0.45710837841033936,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.0966363,-13.357457160949707,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.58170205,-0.6970236301422119,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.90706056,-0.8288247585296631,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0028716465,-5.053695201873779,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.0491033,-4.278481960296631,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.07035799,-0.43035006523132324,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.12035379,0.6247391402721405,True,2.590894600971398,5.178049462247836,0.6243852670698221,8.414734272884548,0.05690030241385102,0.12936322391033173,1.0742319822311401,0.40762869165199844,0.0,0.0,0.4956382546352285,0.506824442511014,3.5600223770557804,0.3125491991564806,1.5273259987666679
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,1.1525867,-0.9890879392623901,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,9.615472,-1.085519552230835,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.3194848,-0.2277698516845703,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.35093877,-4.081788539886475,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07742647,-2.918911933898926,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.0439384,-4.131319522857666,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,4.042902,0.5094964504241943,True,0.14541670186914882,0.07209484231263376,0.36513624631277425,8.68669176698137,3.052797024250031,0.5182048678398132,0.08020572364330292,0.28940273741429845,0.0,0.0,0.42971162853715733,2.097465442964341,0.2072691261639883,0.5660691957503161,2.0446095633797716
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.2161913,-0.13086211681365967,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.8519055,-0.9944719076156616,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,0.8625425,-1.039351463317871,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.7113724,-0.9925539493560791,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.78722906,-0.8026494979858398,False,,,,,,,,,,,,,,,
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.41054973,-1.0476925373077393,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.20919332,-0.40131866931915283,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.7046058,-0.8312675952911377,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.05339578,-3.2109642028808594,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.9490823,-0.07524144649505615,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,0.77466315,-0.8751142024993896,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.0336605,-1.6317472457885742,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.07939304,-1.7382407188415527,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.8248895,-1.7716736793518066,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,8.19715,0.14582490921020508,True,0.05516318361187069,0.005058806813255749,0.06365476844900882,25.390664364836475,31.195794010162352,3.7368698120117188,0.19764956831932068,0.24234717082052595,0.0,0.0,0.17847803170912724,10.575180357091693,0.46288914154765426,0.16036291095531058,10.455379605119088
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.6771576,-0.6921247243881226,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.6919963,-0.7282147407531738,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.17405929,0.32501059770584106,True,0.24495528198999988,1.2129080974967976,0.24187550752470235,13.988001496315809,0.3144104671229919,0.05939169600605965,0.2830330729484558,0.3026564631695706,0.0,0.0,0.4099724370363144,0.15005066385871324,0.6667059657549292,0.5614650097337933,3.612157814038006
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.7442101,-1.0029175281524658,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.32914978,-2.2847588062286377,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.6070925,-0.4770817756652832,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.7412363,-0.4487255811691284,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,3.750855,0.3106641173362732,True,0.09512976118213659,0.04376168026769345,0.18295485407053544,20.219751207125253,2.3188458681106567,0.5130763649940491,0.09956865757703781,0.35765052796529334,0.0,0.0,0.3248358474197344,1.3786101228579326,0.2747029740170672,0.42918849957539806,4.4345202522062825
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,5.685709,-3.6862196922302246,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.69240373,0.48048537969589233,True,0.3793567757656091,0.2817576848805325,0.18129160859637555,19.41160913454257,0.4225113433599472,0.3943333327770233,0.440988153219223,0.2943101335028944,0.0,0.0,0.4676336380172366,1.178529814037107,1.4791897417142472,0.6545571680976954,3.780057189606974
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,0.97948325,-2.0596425533294678,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.4176315,-1.0686819553375244,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.1271906,-1.6656064987182617,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.6005744,-1.456770896911621,False,,,,,,,,,,,,,,,
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.7387346,-1.4885687828063965,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.2324741,-1.2786946296691895,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,7.808453,-2.648759365081787,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.35489148,-0.9311227798461914,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.033130094,-0.16138708591461182,False,,,,,,,,,,,,,,,
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,1.5230347,-0.9989044666290283,False,,,,,,,,,,,,,,,
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,2.9512439,-1.7669100761413574,False,,,,,,,,,,,,,,,
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.2641982,-0.5035544633865356,False,,,,,,,,,,,,,,,
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,0.67989385,-1.3411753177642822,False,,,,,,,,,,,,,,,
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.1616253,-3.413771152496338,False,,,,,,,,,,,,,,,
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.3583741,-0.9663116931915283,False,,,,,,,,,,,,,,,
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,1.3368652,-1.1089463233947754,False,,,,,,,,,,,,,,,
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.7598687,-0.3430445194244385,False,,,,,,,,,,,,,,,
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.450975,-2.068624496459961,False,,,,,,,,,,,,,,,
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.3104664,-0.12824535369873047,False,,,,,,,,,,,,,,,
