,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.26649925,0.24986326694488525,True,0.21972660651761827,1.077453460858403,0.3761416353288211,9.90522662914849,0.24243859916925428,0.07110761851072311,0.1363852173089981,0.2644979666683337,0.0,0.0,0.15839561561751414,0.19988697588914783,0.4005105411633849,0.7334109811710999,1.7184034332196554
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.41770965,0.1747632622718811,True,0.04233093104441939,0.192773043396471,0.24092479676970863,6.104163624311227,2.3330575203895574,0.053649310022592545,0.032595809549093246,0.015174588014080477,0.0,0.0,0.3952217263508094,0.19456466852945228,0.13772612442824478,2.0575935110798462,2.701497238060067
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6252601,-0.994788408279419,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4258829,-0.04968583583831787,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3847817,-0.033125877380371094,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,7.0193434,-5.691410541534424,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.4711871,-0.7732303142547607,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8355182,-0.23743712902069092,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0035746112,-1.2563111782073975,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.4643273,-4.105255126953125,False,,,,,,,,,,,,,,,
