# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-f" "-g" "ID" "-p" "-O" "-a" "/gpfs/group/pipkin/Exp337/codes/GRCm38_exon_rmdup_srt_cb_srt_dupr_f.gff" "-o" "337-17_f.txt" "/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam
ENSMUSE00001343744	1	3073253	3074322	+	1070	0
ENSMUSE00000522066	1	3102016	3102125	+	110	0
ENSMUSE00001339323	1	3252757	3253236	+	480	0
ENSMUSE00000869502	1	3466587	3513553	+	46967	12
ENSMUSE00001343235	1	3531795	3532720	+	926	0
ENSMUSE00001341983	1	3680155	3681788	+	1634	0
ENSMUSE00001342074	1	3752010	3754360	+	2351	0
ENSMUSE00001345089	1	4496551	4499378	+	2828	1
ENSMUSE00001336948	1	4497474	4499558	+	2085	1
ENSMUSE00001341225	1	4522905	4526737	+	3833	47
ENSMUSE00001004195	1	4529017	4529123	+	107	0
ENSMUSE00001345236	1	4610471	4611406	+	936	1
ENSMUSE00001345397	1	4771131	4772199	+	1069	37
ENSMUSE00000837314	1	4807788	4848410	+	40623	504
ENSMUSE00001255376	1	4807823	4846739	+	38917	497
ENSMUSE00000730558	1	4807892	4886770	+	78879	1052
ENSMUSE00001230529	1	4808237	4841093	+	32857	398
ENSMUSE00000777602	1	4836905	4842827	+	5923	105
ENSMUSE00000703287	1	4857814	4897905	+	40092	758
ENSMUSE00001206040	1	4858038	4897909	+	39872	751
ENSMUSE00000747600	1	4970857	4976820	+	5964	2
ENSMUSE00000912814	1	5063060	5064647	+	1588	0
ENSMUSE00001338479	1	5070018	5162340	+	92323	2794
ENSMUSE00000385288	1	5083080	5162529	+	79450	2791
ENSMUSE00001342184	1	5083124	5145052	+	61929	2508
ENSMUSE00000230808	1	5083132	5095659	+	12528	593
ENSMUSE00001341886	1	5083132	5086779	+	3648	151
ENSMUSE00001345433	1	5083164	5099777	+	16614	680
ENSMUSE00001341804	1	5307739	5310017	+	2279	0
ENSMUSE00001342914	1	5403547	5405578	+	2032	1
ENSMUSE00001343112	1	5588466	5591311	+	2846	0
ENSMUSE00000154063	1	5588493	5606131	+	17639	1
ENSMUSE00000554252	1	5588557	5604014	+	15458	1
ENSMUSE00000863532	1	5596518	5603153	+	6636	0
ENSMUSE00000863721	1	6206197	6234311	+	28115	1442
ENSMUSE00000230531	1	6206227	6276648	+	70422	3723
ENSMUSE00000997941	1	6228002	6249029	+	21028	1464
ENSMUSE00000154068	1	6234279	6275577	+	41299	2292
ENSMUSE00000848395	1	6240970	6248358	+	7389	565
ENSMUSE00001276978	1	6249088	6274490	+	25403	1206
ENSMUSE00000858689	1	6249977	6251258	+	1282	270
ENSMUSE00000850861	1	6250095	6265810	+	15716	717
ENSMUSE00000854166	1	6260785	6262854	+	2070	35
ENSMUSE00001254227	1	6262903	6264893	+	1991	38
ENSMUSE00001243306	1	6262933	6274489	+	11557	253
ENSMUSE00001310124	1	6265606	6272765	+	7160	172
ENSMUSE00001246930	1	6270678	6275575	+	4898	114
ENSMUSE00001054859	1	6359218	6394731	+	35514	5
ENSMUSE00001344827	1	6380394	6381032	+	639	0
ENSMUSE00000824119	1	6487231	6860934	+	373704	65
ENSMUSE00000794948	1	6487331	6860940	+	373610	65
ENSMUSE00000630855	1	6730051	6860940	+	130890	10
ENSMUSE00000630853	1	6730070	6860940	+	130871	10
ENSMUSE00000796004	1	6802791	6809365	+	6575	4
ENSMUSE00000746001	1	6817600	6833598	+	15999	3
ENSMUSE00000775067	1	6827897	6848984	+	21088	3
ENSMUSE00000730905	1	6857341	6859604	+	2264	0
ENSMUSE00001339893	1	6910560	6911222	+	663	2
ENSMUSE00001339810	1	6916559	6923588	+	7030	2
ENSMUSE00001337469	1	6929759	6929788	+	30	0
ENSMUSE00001337169	1	6998217	6998541	+	325	0
ENSMUSE00001341158	1	7013762	7013920	+	159	0
ENSMUSE00001343950	1	7035915	7037217	+	1303	4
ENSMUSE00000630850	1	7088920	7173628	+	84709	944
ENSMUSE00001298878	1	7088930	7169598	+	80669	867
ENSMUSE00001253077	1	7089104	7160902	+	71799	751
ENSMUSE00001289349	1	7089166	7172122	+	82957	916
ENSMUSE00001273110	1	7147637	7170076	+	22440	393
ENSMUSE00001339503	1	7148110	7152137	+	4028	83
ENSMUSE00001237796	1	7154867	7163371	+	8505	153
ENSMUSE00001304350	1	7160085	7172659	+	12575	220
ENSMUSE00000501172	1	7177739	7179037	+	1299	34
ENSMUSE00000664209	1	7265803	7265932	+	130	0
ENSMUSE00001344861	1	7315451	7316462	+	1012	0
ENSMUSE00001345188	1	7410679	7411993	+	1315	0
ENSMUSE00001344143	1	7497968	7518149	+	20182	1
ENSMUSE00001346220	1	7591646	7591931	+	286	0
ENSMUSE00001338294	1	7597379	7599473	+	2095	5
ENSMUSE00001339509	1	7664081	7664961	+	881	0
ENSMUSE00001341492	1	8815842	8816039	+	198	0
ENSMUSE00000660495	1	8816138	8816247	+	110	0
ENSMUSE00001337974	1	8856763	8857102	+	340	0
ENSMUSE00001340748	1	9286922	9290180	+	3259	0
ENSMUSE00001344273	1	9450579	9451748	+	1170	13
ENSMUSE00000522850	1	9458670	9458772	+	103	0
ENSMUSE00000463933	1	9545408	9547455	+	2048	63
ENSMUSE00000754750	1	9547948	9577970	+	30023	134
