,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0465,0.8363998,-0.3372519016265869,False,,,,,,,,,,,,,,,,-0.19480526447296143
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0687,0.19633804,-0.9136652946472168,False,,,,,,,,,,,,,,,,0.058372676372528076
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0987,0.41762432,-0.4649266004562378,False,,,,,,,,,,,,,,,,0.06495821475982666
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.009,1.092091,-0.7886492013931274,False,,,,,,,,,,,,,,,,-0.7865957021713257
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0465,5.529459,-4.037084579467773,False,,,,,,,,,,,,,,,,-3.0712318420410156
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0129,0.27266464,-0.04715836048126221,False,,,,,,,,,,,,,,,,0.13627386093139648
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0208,0.758533,-0.5577406883239746,False,,,,,,,,,,,,,,,,-0.1818007230758667
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0305,0.0035573675,-3.081997871398926,False,,,,,,,,,,,,,,,,0.012007176876068115
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2028,0.054985467,-1.2959330081939697,False,,,,,,,,,,,,,,,,-0.13104689121246338
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1745,0.0653651,0.1898026466369629,True,0.5126283612009684,3.7783182270929334,0.22680662390374404,13.375381496092903,0.1197732106782496,0.04426366835832596,0.601462721824646,0.28053845924090987,0.0,0.0,0.4532909278955787,0.11602711230968209,1.2582215614584755,0.5943614946579726,3.1596563322039715,0.21539604663848877
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.062,33.98517,-0.8892066478729248,False,,,,,,,,,,,,,,,,-0.8882955312728882
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.1426,0.5596928,-1.110978603363037,False,,,,,,,,,,,,,,,,-0.9080530405044556
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0587,1.0867172,-0.6129209995269775,False,,,,,,,,,,,,,,,,-0.6120381355285645
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.2422,2.0961728,0.45628994703292847,True,0.10012006226368475,0.14861868793533034,0.24751886543396945,9.019869307343274,3.5604126977920534,0.24357612431049347,0.09697447717189789,0.31076999913689335,0.0,0.0,0.31120507926519647,0.5247262247719008,0.23135473407355361,0.5177515670983183,2.2961619390414776,0.49221426248550415
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0495,1.0227693,-0.5950186252593994,False,,,,,,,,,,,,,,,,-0.5904343128204346
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.064,1.1844256,-0.8447268009185791,False,,,,,,,,,,,,,,,,-0.7640936374664307
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0717,0.31308997,0.17921018600463867,True,0.040413887318451705,0.22639572867699534,0.06555807526779366,23.402919189821887,0.8853989872667524,0.060722168534994125,0.08267904818058014,0.16889093704019328,0.0,0.0,0.4462527470132548,0.17871315007863572,0.36931352078079666,1.3799414854597074,6.630687754889868,0.17951160669326782
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,-0.0211,0.27312455,-1.350123643875122,False,,,,,,,,,,,,,,,,-0.009606599807739258
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0475,3.2100558,-1.027240514755249,False,,,,,,,,,,,,,,,,-1.0258522033691406
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0028,0.6347025,-0.8042334318161011,False,,,,,,,,,,,,,,,,-0.6668962240219116
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0438,33.528305,0.4902799129486084,False,0.0457771809212158,0.013257792647306107,0.24285243947207072,7.577615886165191,68.64002265930176,1.4580661058425903,0.03504965454339981,0.3162742144212094,0.0,0.0,0.008495745013737491,2.8725051411098517,0.09971761780566182,0.5432837089555974,1.8131565519558026,0.49164652824401855
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0289,0.42088538,-0.3209812641143799,False,,,,,,,,,,,,,,,,-0.0844874382019043
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.2064,0.26560178,-0.16691958904266357,False,,,,,,,,,,,,,,,,0.1496363878250122
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,-0.0128,1.4859495,-0.8536111116409302,False,,,,,,,,,,,,,,,,-0.8104966878890991
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.1507,0.24221213,-0.6317726373672485,False,,,,,,,,,,,,,,,,-0.5439586639404297
