,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.24012107,0.214971661567688,True
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.8708765,-0.010943770408630371,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.57883126,-0.971545934677124,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.31344503,0.13091951608657837,True
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2825004,-0.29350197315216064,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.2001705,-5.755175590515137,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.45892984,-0.3239917755126953,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8237526,-0.31883692741394043,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0035134195,-1.5340602397918701,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.1196375,-2.0921947956085205,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08784342,-0.23043334484100342,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.11383376,0.7321200668811798,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.5830054,-0.5384728908538818,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,95.320854,-0.427341103553772,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.24849087,-0.3503837585449219,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5603511,-0.3080974817276001,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.06919099,-2.5305681228637695,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.1544462,-1.2385249137878418,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.7590253,0.35418903827667236,True
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.22491182,-0.0018062591552734375,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.9827185,-1.0362060070037842,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.2370968,-1.148064374923706,False
