# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-f" "-g" "ID" "-p" "-O" "-a" "/gpfs/group/pipkin/Exp337/codes/GRCm38_exon_rmdup_srt_cb_srt_dupr_r.gff" "-o" "337-6_r.txt" "/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-6_pos_pSrt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-6_pos_pSrt.bam
ENSMUSE00000858910	1	3205901	3216344	-	10444	4
ENSMUSE00000863980	1	3206523	3215632	-	9110	4
ENSMUSE00000485541	1	3214482	3671498	-	457017	210
ENSMUSE00001343189	1	3365731	3368549	-	2819	2
ENSMUSE00001343686	1	3375556	3377788	-	2233	0
ENSMUSE00001337180	1	3464977	3467285	-	2309	1
ENSMUSE00001345667	1	3512451	3514507	-	2057	0
ENSMUSE00001343966	1	3592892	3595903	-	3012	3
ENSMUSE00001337496	1	3647309	3658904	-	11596	4
ENSMUSE00000846843	1	3783876	3783933	-	58	0
ENSMUSE00001344134	1	3905739	3986215	-	80477	29
ENSMUSE00001340315	1	3984225	3985984	-	1760	0
ENSMUSE00001378580	1	3999557	4409241	-	409685	235
ENSMUSE00001342598	1	4256234	4260519	-	4286	8
ENSMUSE00001379779	1	4290846	4409241	-	118396	73
ENSMUSE00001403780	1	4292981	4409187	-	116207	72
ENSMUSE00001396015	1	4344146	4360314	-	16169	11
ENSMUSE00001340813	1	4363346	4364829	-	1484	2
ENSMUSE00000471383	1	4490931	4496413	-	5483	5
ENSMUSE00001346369	1	4491250	4496757	-	5508	5
ENSMUSE00001341878	1	4491390	4497354	-	5965	5
ENSMUSE00000436360	1	4491713	4496363	-	4651	5
ENSMUSE00001339744	1	4492457	4493604	-	1148	3
ENSMUSE00001338503	1	4492458	4496330	-	3873	5
ENSMUSE00001338470	1	4492465	4493735	-	1271	3
ENSMUSE00000231976	1	4492467	4496396	-	3930	5
ENSMUSE00001344451	1	4534837	4535286	-	450	1
ENSMUSE00001340102	1	4583129	4586252	-	3124	3
ENSMUSE00001304409	1	4687934	4689403	-	1470	72
ENSMUSE00001342057	1	4692219	4693424	-	1206	10
ENSMUSE00000846510	1	4723277	4723379	-	103	4
ENSMUSE00001345430	1	4735046	4735676	-	631	24
ENSMUSE00000450421	1	4773206	4785710	-	12505	671
ENSMUSE00001229301	1	4773211	4785739	-	12529	671
ENSMUSE00000789568	1	4774436	4785698	-	11263	599
ENSMUSE00001246843	1	4776377	4785739	-	9363	479
ENSMUSE00001343760	1	4778063	4779212	-	1150	54
ENSMUSE00001266256	1	4779967	4784566	-	4600	281
ENSMUSE00000727986	1	4783572	4785692	-	2121	77
ENSMUSE00000491965	1	4880049	4880651	-	603	1
ENSMUSE00001344247	1	4905751	4906861	-	1111	0
ENSMUSE00000814493	1	4909576	5019539	-	109964	70
ENSMUSE00001258222	1	4909576	5070285	-	160710	93
ENSMUSE00001235188	1	4910402	5018735	-	108334	70
ENSMUSE00001288384	1	4910474	5019379	-	108906	70
ENSMUSE00001269943	1	4922528	5019379	-	96852	60
ENSMUSE00000898244	1	4927028	4927299	-	272	0
ENSMUSE00001338399	1	4938576	4940710	-	2135	0
ENSMUSE00000815609	1	5062779	5070273	-	7495	1
