,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.54524755,0.18835419416427612,True,0.08474647983838372,0.5668785926812329,0.17121636054196873,15.663415627155201,0.8772652235627176,0.0498630665242672,0.08440623432397842,0.2642211586026773,0.0,0.0,0.03900963288876516,0.1640256957710222,0.33806635169633503,0.8203547805357475,3.4837924450176603
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.99759585,0.39406394958496094,True,0.0260991708827044,0.09647693467478298,0.08262761236268602,28.30878946609656,2.10840180516243,0.09342246502637863,0.0642489343881607,0.26778898700120124,0.0,0.0,0.34624702960565784,0.2875483345710574,0.1800845012486238,0.7606833065925628,7.128384653010516
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.81010145,-1.161409616470337,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4167471,-1.0973808765411377,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5612215,-0.02193284034729004,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.928666,-8.419264793395996,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.47576624,-1.5459434986114502,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.3950235,-0.8110735416412354,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0037024566,-3.5110549926757812,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,10.658095,-2.8429794311523438,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.14308216,-8.049784660339355,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.13243122,0.2799469828605652,True,0.8819880981779528,1.9528191836638094,0.21507329653797033,13.035767512014099,0.06408971473574639,0.0937919095158577,0.6914787888526917,0.3622801925033191,0.0,0.0,0.4584104631822977,0.30226514442543095,1.9954701692893586,0.4313680143239382,3.595523590057911
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.6074498,-0.416253924369812,False,,,,,,,,,,,,,,,
