,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.4819983,-0.2573035955429077,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.9598237,0.4123014211654663,True
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6255368,-0.96971595287323,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.41646904,-0.3496725559234619,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2419672,-0.2870175838470459,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,5.979767,-13.098475456237793,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.46095031,-0.8176620006561279,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0488199,-0.7333202362060547,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0023532666,-1.854865550994873,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,8.188014,-2.635427951812744,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08260676,-0.7214417457580566,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.089984894,0.7241704761981964,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.6088134,-0.6359795331954956,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,92.05389,-0.43473267555236816,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.24570636,-0.13454043865203857,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.40713882,-1.658005952835083,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07176905,-1.7922496795654297,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.0022589,-3.074063777923584,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.552026,0.3443700075149536,True
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.21732347,-0.14985311031341553,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.93718314,-1.3079807758331299,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,0.9554525,-1.3680131435394287,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.4754182,-0.9197984933853149,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.9117181,-0.4505661725997925,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.5813381,-1.5141375064849854,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.27239937,-0.47659921646118164,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.7121894,-0.011196732521057129,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.028249158,-2.046607494354248,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,0.84990907,0.4679354429244995,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.311877,-0.5843333005905151,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.1734241,-1.372006893157959,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.06520478,-1.5652730464935303,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,2.4072354,-0.4701730012893677,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,10.402698,0.7023249268531799,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.67007035,-0.6867368221282959,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.37866086,-0.33719706535339355,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.20476374,0.4250946640968323,True
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.5399741,-0.6949269771575928,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.3164865,-1.248326063156128,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.57058156,-0.363492488861084,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.9096496,-0.16251516342163086,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,2.6948905,0.19532263278961182,True
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,6.099211,-1.0398175716400146,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.8047567,0.44486886262893677,True
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.2272841,-1.339625597000122,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.3195965,-0.41304171085357666,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.6785362,-0.6745970249176025,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.60212344,-0.1585749387741089,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.7639246,-1.220874309539795,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.317407,-0.8913829326629639,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,8.017213,-1.116502285003662,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.28574336,-0.9428377151489258,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.01656492,-0.9138040542602539,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,1.3093463,-0.3209635019302368,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,4.1714163,-0.5228685140609741,False
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.2730076,-0.34751904010772705,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.7992338,-0.8823574781417847,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.1647848,-2.7744972705841064,False
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.31194752,-1.1197097301483154,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,1.2499528,-0.36244165897369385,False
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.6186158,-0.22955501079559326,False
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.4737192,-2.069432258605957,False
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.35676238,-0.3157014846801758,False
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,2.9792285,-4.403844833374023,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,19.489075,-1.239687204360962,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,0.0274,0.48667687,-0.14427244663238525,False
Raph1,ENSMUSG00000026014,1,60567104,60482292,-,0.0546,2.3472471,0.21913987398147583,True
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0481,2.3236272,-4.053251266479492,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0689,0.7904793,-0.5869654417037964,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1428,0.45505038,0.26108843088150024,True
Mettl21a,ENSMUSG00000025956,1,64617242,64606473,-,0.009,0.29194692,-0.468086838722229,False
Plekhm3,ENSMUSG00000051344,1,64956824,64785983,-,-0.0257,4.485326,-1.796271800994873,False
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,0.0008,0.43928576,-0.22740566730499268,False
Kansl1l,ENSMUSG00000026004,1,66817562,66719248,-,-0.022,5.747657,-0.8945205211639404,False
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.2298,0.21907283,-0.6181528568267822,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,-0.0089,0.5753432,-0.2248220443725586,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0297,1.3405304,0.46753865480422974,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1687,1.4622641,0.8211922198534012,True
Mreg,ENSMUSG00000039395,1,72212307,72159442,-,-0.0106,3.1528635,0.5573384463787079,True
Pecr,ENSMUSG00000026189,1,72284314,72259167,-,0.0158,0.37763783,-0.24748408794403076,False
Aamp,ENSMUSG00000006299,1,74284738,74279840,-,-0.0204,0.04941673,-2.7993109226226807,False
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,0.0575,1.5573034,0.2605929970741272,True
Zfp142,ENSMUSG00000026135,1,74588246,74565127,-,-0.0118,0.6909587,-0.6783345937728882,False
Rnf25,ENSMUSG00000026171,1,74601397,74593748,-,-0.0325,0.5492891,-0.6266930103302002,False
Nhej1,ENSMUSG00000026162,1,75125200,74967139,-,0.0699,1.0459718,-0.7702846527099609,False
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0577,0.22288544,-0.6147832870483398,False
Atg9a,ENSMUSG00000033124,1,75192196,75180860,-,-0.0469,0.42223853,-0.42373812198638916,False
Tuba4a,ENSMUSG00000026202,1,75219865,75214228,-,0.1993,0.041142505,-1.476614236831665,False
Dnpep,ENSMUSG00000026209,1,75317990,75307896,-,0.0488,0.12639324,-2.4955685138702393,False
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0844,1.0811524,-1.022282600402832,False
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0606,2.9587748,-0.7920714616775513,False
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0818,0.73820084,-1.378495454788208,False
Serpine2,ENSMUSG00000026249,1,79861180,79794197,-,0.0564,0.15513824,0.22798413038253784,True
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,0.0308,1.3688519,-0.8870841264724731,False
Dock10,ENSMUSG00000038608,1,80758527,80501073,-,-0.0708,11.766135,-2.8125360012054443,False
Trip12,ENSMUSG00000026219,1,84840516,84721189,-,-0.0368,1.6433189,-1.4788639545440674,False
Sp110,ENSMUSG00000070034,1,85598817,85576899,-,-0.1564,0.21287377,-0.585234522819519,False
A630001G21Rik,ENSMUSG00000052760,1,85778643,85717083,-,-0.0502,0.8263339,0.35283488035202026,True
Gpr55,ENSMUSG00000049608,1,85961007,85938318,-,-0.0092,0.3675541,0.32034993171691895,True
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,0.3456,0.054728746,-1.127410650253296,False
Pde6d,ENSMUSG00000026239,1,86582629,86542994,-,-0.0156,2.7831368,-0.6415801048278809,False
Usp40,ENSMUSG00000005501,1,88008551,87945119,-,-0.0333,1.2672732,-0.2374337911605835,False
Hjurp,ENSMUSG00000044783,1,88277633,88262471,-,0.0629,0.3125282,0.6725262701511383,True
Arl4c,ENSMUSG00000049866,1,88702221,88673125,-,-0.0968,0.18136448,0.40839684009552,True
Ilkap,ENSMUSG00000026309,1,91398815,91373861,-,0.1238,0.4439344,-1.189192533493042,False
Hdac4,ENSMUSG00000026313,1,92195699,91928779,-,-0.0913,0.9670408,0.43953222036361694,True
Ndufa10,ENSMUSG00000026260,1,92473860,92439010,-,0.1287,0.19711626,-2.095423698425293,False
Cops9,ENSMUSG00000073616,1,92641985,92637145,-,0.0781,0.028166901,-3.153503894805908,False
Mterf4,ENSMUSG00000026273,1,93305915,93299211,-,0.003,0.208832,-0.6362347602844238,False
Pask,ENSMUSG00000026274,1,93343482,93308770,-,0.0895,0.32044607,0.48767638206481934,True
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,0.2369,0.28694117,0.030110061168670654,True
Stk25,ENSMUSG00000026277,1,93658659,93619751,-,-0.0315,0.2588346,-0.7630666494369507,False
Thap4,ENSMUSG00000026279,1,93754864,93701935,-,0.0178,0.45855108,-0.45229482650756836,False
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,0.1976,0.60613924,-0.3265186548233032,False
Pdcd1,ENSMUSG00000026285,1,94052553,94038305,-,0.1159,0.415804,0.5438582003116608,True
St8sia4,ENSMUSG00000040710,1,95667571,95587682,-,-0.0566,1.9298732,-0.10757052898406982,False
D1Ertd622e,ENSMUSG00000044768,1,97662074,97606318,-,-0.0049,0.27646843,-0.1081700325012207,False
Ppip5k2,ENSMUSG00000040648,1,97770411,97706048,-,0.0158,1.2563082,-0.12451028823852539,False
Pam,ENSMUSG00000026335,1,98095646,97795114,-,-0.0168,14.370134,-0.4008699655532837,False
Pign,ENSMUSG00000056536,1,105663677,105518422,-,-0.0193,4.7138495,-2.720402240753174,False
Bcl2,ENSMUSG00000057329,1,106714274,106538178,-,-0.167,2.5779712,0.6902986764907837,True
Kdsr,ENSMUSG00000009905,1,106759727,106720459,-,-0.0828,0.4524643,-0.20358586311340332,False
Vps4b,ENSMUSG00000009907,1,106796728,106764071,-,-0.0084,1.6032101,-1.3203630447387695,False
Tsn,ENSMUSG00000026374,1,118311739,118294778,-,0.2497,0.08537664,-0.950377345085144,False
Ptpn4,ENSMUSG00000026384,1,119837613,119652467,-,-0.0821,3.1555674,-1.1442203521728516,False
