seqnames,start,end,width,strand,Conc,Conc_STAT5B_noIL2,Conc_STAT5B_IL2,Fold
14,124801489,124802276,788,*,9.83,10.73,6.94,3.79
18,90602108,90602678,571,*,9.3,10.2,6.44,3.76
JH584304.1,70918,71503,586,*,9.69,10.59,6.84,3.75
JH584304.1,68539,69862,1324,*,10.67,11.56,7.84,3.72
9,3033678,3034045,368,*,9.24,10.13,6.43,3.7
9,3002945,3003743,799,*,10.24,11.13,7.45,3.68
9,3001638,3002467,830,*,10.2,11.09,7.43,3.66
9,3025730,3026037,308,*,9.16,10.05,6.39,3.67
7,145340857,145341499,643,*,9.48,10.37,6.71,3.66
9,3023435,3023810,376,*,9.3,10.18,6.54,3.65
9,3030534,3030987,454,*,9.31,10.2,6.55,3.65
GL456392.1,21750,23592,1843,*,10.34,11.23,7.59,3.63
9,3034356,3034918,563,*,9.42,10.31,6.69,3.62
9,3009315,3009955,641,*,9.88,10.77,7.16,3.61
JH584304.1,112873,113809,937,*,10.08,10.97,7.37,3.6
9,3020799,3021113,315,*,9.36,10.25,6.68,3.57
9,3012775,3013342,568,*,9.71,10.6,7.04,3.56
9,3014035,3014386,352,*,9.37,10.25,6.7,3.55
JH584304.1,113997,114414,418,*,8.95,9.85,6.07,3.78
JH584304.1,110831,111152,322,*,9.06,9.94,6.41,3.54
9,3012167,3012393,227,*,8.98,9.87,6.22,3.65
9,3031572,3031851,280,*,8.93,9.82,6.12,3.71
9,3019770,3020086,317,*,8.93,9.82,6.18,3.64
9,3003982,3004292,311,*,8.91,9.8,6.17,3.62
9,3017842,3018110,269,*,8.83,9.73,5.98,3.75
9,3024376,3024617,242,*,8.85,9.73,6.11,3.62
9,3036700,3037242,543,*,8.8,9.69,6.06,3.63
JH584304.1,73122,73373,252,*,8.88,9.76,6.26,3.49
9,3015969,3016170,202,*,8.84,9.72,6.17,3.55
JH584304.1,109150,109318,169,*,8.76,9.64,6.02,3.62
12,120028584,120029099,516,*,8.76,9.64,6.03,3.62
9,3008475,3008696,222,*,8.73,9.62,5.96,3.66
9,3033100,3033326,227,*,8.74,9.63,6.02,3.61
2,182012691,182013284,594,*,8.56,9.47,5.52,3.95
9,3006283,3006503,221,*,8.77,9.65,6.1,3.55
JH584304.1,93019,93200,182,*,8.77,9.65,6.13,3.52
19,61331208,61331625,418,*,8.55,9.46,5.52,3.93
JH584304.1,112176,112381,206,*,8.59,9.49,5.68,3.81
9,3025012,3025210,199,*,8.69,9.57,5.98,3.59
9,3006691,3006864,174,*,8.57,9.47,5.74,3.73
16,98107436,98107848,413,*,8.56,9.45,5.72,3.73
9,3024074,3024281,208,*,8.65,9.53,6,3.54
JH584304.1,83900,84047,148,*,8.63,9.51,5.93,3.58
9,3021512,3021705,194,*,8.56,9.45,5.76,3.69
9,3010873,3011103,231,*,8.65,9.53,6,3.53
10,72297096,72297406,311,*,7.64,8.62,1.54,7.08
JH584304.1,111658,111905,248,*,8.49,9.39,5.7,3.69
JH584304.1,70241,70512,272,*,8.52,9.4,5.85,3.55
9,3035194,3035505,312,*,8.42,9.32,5.6,3.71
9,3020482,3020659,178,*,8.49,9.37,5.81,3.57
9,3017054,3017246,193,*,8.43,9.32,5.71,3.61
3,159939337,159939764,428,*,8.42,9.31,5.7,3.61
9,3028427,3028634,208,*,8.45,9.33,5.77,3.57
13,120321362,120321723,362,*,8.26,9.16,5.34,3.82
JH584304.1,70660,70837,178,*,8.25,9.15,5.39,3.76
X,170758150,170758563,414,*,8.21,9.11,5.28,3.83
9,3029668,3029854,187,*,8.31,9.2,5.57,3.63
9,3037509,3037882,374,*,8.25,9.14,5.49,3.65
9,3022456,3022619,164,*,8.29,9.17,5.6,3.57
9,3002566,3002800,235,*,8.26,9.15,5.55,3.59
JH584304.1,72141,72306,166,*,8.11,9,5.4,3.6
9,3000598,3000875,278,*,7.99,8.88,5.24,3.63
9,3031219,3031382,164,*,8.04,8.92,5.4,3.52
9,3020138,3020286,149,*,7.95,8.83,5.2,3.64
1,195371646,195372033,388,*,8,8.88,5.34,3.54
9,3028058,3028209,152,*,7.93,8.81,5.28,3.54
GL456389.1,10286,10894,609,*,7.74,8.64,4.88,3.76
10,3116298,3116937,640,*,7.84,8.71,5.24,3.47
14,86198910,86199232,323,*,7.62,8.52,4.68,3.84
13,119598927,119599225,299,*,7.61,8.51,4.81,3.7
9,3001129,3001291,163,*,7.59,8.47,4.95,3.52
12,74803824,74804584,761,*,7.42,8.32,4.51,3.81
9,124256333,124256939,607,*,7.44,8.32,4.76,3.56
5,151734464,151734771,308,*,7.4,8.29,4.7,3.59
GL456370.1,0,240,241,*,7.39,8.27,4.73,3.54
11,121982282,121982618,337,*,7.24,8.12,4.56,3.56
MT,12957,13160,204,*,6.97,7.89,3.81,4.08
12,67059164,67059871,708,*,7.26,8.14,4.7,3.44
12,97061414,97061787,374,*,6.64,7.59,2.74,4.84
6,103314519,103314804,286,*,6.93,7.85,3.84,4.01
1,24615733,24616150,418,*,7.09,7.97,4.43,3.54
1,24613562,24613891,330,*,6.71,7.64,3.31,4.33
MT,15786,16020,235,*,6.63,7.56,3.13,4.43
1,24614943,24615289,347,*,6.88,7.78,3.98,3.8
MT,15022,15197,176,*,6.57,7.51,2.98,4.53
8,83756749,83757072,324,*,6.83,7.73,3.95,3.79
X,170880926,170881328,403,*,6.87,7.76,4.15,3.61
10,130594685,130595061,377,*,6.68,7.59,3.65,3.94
13,74530416,74530672,257,*,6.62,7.53,3.54,3.99
12,16747728,16748003,276,*,6.66,7.56,3.71,3.85
17,13552097,13553153,1057,*,6.91,7.78,4.39,3.39
14,69161900,69162182,283,*,6.63,7.53,3.65,3.89
9,124257377,124257888,512,*,6.97,7.82,4.54,3.28
