seqnames,start,end,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,9833288,9833737,450,*,"Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9848272,9900843,52572,1,170755,ENSMUST00000171265.7,-14535,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
chr1,13465018,13465339,322,*,Distal Intergenic,1,13164501,13374083,209583,2,17978,ENSMUST00000147927.7,-90935,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
chr1,13572715,13572916,202,*,Promoter (6-7kb),1,13576144,13579798,3655,2,72265,ENSMUST00000185447.1,6882,ENSMUSG00000025935,Tram1,translocating chain-associating membrane protein 1
chr1,20740684,20740897,214,*,Promoter (9-10kb),1,20730905,20734496,3592,1,16171,ENSMUST00000027061.4,9779,ENSMUSG00000025929,Il17a,interleukin 17A
chr1,20912192,20912405,214,*,Promoter (5-6kb),1,20917840,20939055,21216,1,74229,ENSMUST00000068880.13,-5435,ENSMUSG00000025931,Paqr8,progestin and adipoQ receptor family member VIII
chr1,20980575,20980777,203,*,"Intron (ENSMUST00000038447.5/71877, intron 9 of 10)",1,20951688,20990841,39154,1,71877,ENSMUST00000038447.5,28887,ENSMUSG00000041809,Efhc1,EF-hand domain (C-terminal) containing 1
chr1,30793041,30793276,236,*,Distal Intergenic,1,30806205,30809105,2901,2,213109,ENSMUST00000190190.1,15829,ENSMUSG00000048874,Phf3,PHD finger protein 3
chr1,33612216,33612478,263,*,Promoter (9-10kb),1,33478942,33622142,143201,2,19076,ENSMUST00000189552.1,9664,ENSMUSG00000026134,Prim2,"DNA primase, p58 subunit"
chr1,34433340,34433654,315,*,Promoter (<=1kb),1,34427002,34433264,6263,2,100628580,ENSMUST00000192173.1,-76,ENSMUSG00000092852,Mir5103,microRNA 5103
chr1,36293558,36293744,187,*,Distal Intergenic,1,36307733,36319203,11471,1,214855,ENSMUST00000126413.7,-13989,ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like)
chr1,36296721,36297145,425,*,Distal Intergenic,1,36307733,36319203,11471,1,214855,ENSMUST00000126413.7,-10588,ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like)
chr1,36308003,36308316,314,*,Promoter (<=1kb),1,36307779,36316578,8800,1,214855,ENSMUST00000140218.1,224,ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like)
chr1,36892635,36892903,269,*,"Intron (ENSMUST00000027290.11/56030, intron 1 of 40)",1,36792191,36939527,147337,2,56030,ENSMUST00000027290.11,46624,ENSMUSG00000026116,Tmem131,transmembrane protein 131
chr1,37478544,37478836,293,*,Promoter (9-10kb),1,37485851,37488605,2755,2,77633,ENSMUST00000192316.1,9769,ENSMUSG00000103948,4930594C11Rik,G1 to S phase transition pseudogene
chr1,37544184,37544689,506,*,Promoter (3-4kb),1,37439340,37541016,101677,2,269181,ENSMUST00000151952.7,-3168,ENSMUSG00000026110,Mgat4a,"mannoside acetylglucosaminyltransferase 4, isoenzyme A"
chr1,37890045,37890476,432,*,Promoter (<=1kb),1,37874801,37890407,15607,2,69028,ENSMUST00000139725.7,0,ENSMUSG00000026088,Mitd1,"MIT, microtubule interacting and transport, domain containing 1"
chr1,38771116,38771288,173,*,Distal Intergenic,1,38794509,38821215,26707,2,381338,ENSMUST00000039612.4,49927,ENSMUSG00000048814,Lonrf2,LON peptidase N-terminal domain and ring finger 2
chr1,38777588,38777971,384,*,Distal Intergenic,1,38794509,38821215,26707,2,381338,ENSMUST00000039612.4,43244,ENSMUSG00000048814,Lonrf2,LON peptidase N-terminal domain and ring finger 2
chr1,39281936,39282226,291,*,"Intron (ENSMUST00000173050.7/18143, intron 2 of 2)",1,39341555,39345466,3912,1,18143,ENSMUST00000172825.1,-59329,ENSMUSG00000026077,Npas2,neuronal PAS domain protein 2
chr1,40386300,40386533,234,*,Distal Intergenic,1,40429570,40446723,17154,1,17082,ENSMUST00000174335.7,-43037,ENSMUSG00000026069,Il1rl1,interleukin 1 receptor-like 1
chr1,40475745,40475983,239,*,Promoter (9-10kb),1,40466006,40500854,34849,1,16182,ENSMUST00000108044.3,9739,ENSMUSG00000026070,Il18r1,interleukin 18 receptor 1
chr1,40515232,40515480,249,*,Promoter (<=1kb),1,40515362,40551705,36344,1,16174,ENSMUST00000027237.11,0,ENSMUSG00000026068,Il18rap,interleukin 18 receptor accessory protein
chr1,40516161,40516536,376,*,Promoter (<=1kb),1,40515448,40526917,11470,1,16174,ENSMUST00000159724.1,713,ENSMUSG00000026068,Il18rap,interleukin 18 receptor accessory protein
chr1,43225071,43225274,204,*,Distal Intergenic,1,43123290,43196984,73695,2,14200,ENSMUST00000185893.1,-28087,ENSMUSG00000008136,Fhl2,four and a half LIM domains 2
chr1,43880400,43880711,312,*,Distal Intergenic,1,43765007,43827800,62794,2,67883,ENSMUST00000139451.7,-52600,ENSMUSG00000057363,Uxs1,UDP-glucuronate decarboxylase 1
chr1,44042149,44042405,257,*,Distal Intergenic,1,44010510,44020034,9525,2,433294,ENSMUST00000159881.1,-22115,ENSMUSG00000047343,Mettl21c,methyltransferase like 21C
chr1,46864309,46864643,335,*,"Intron (ENSMUST00000186852.1/227059, intron 1 of 1)",1,46807544,46854046,46503,2,227059,ENSMUST00000027131.5,-10263,ENSMUSG00000025986,Slc39a10,"solute carrier family 39 (zinc transporter), member 10"
chr1,51490306,51490505,200,*,Distal Intergenic,1,51471129,51478425,7297,2,109019,ENSMUST00000188051.6,-11881,ENSMUSG00000026107,Nabp1,nucleic acid binding protein 1
chr1,51509706,51509990,285,*,Promoter (2-3kb),1,51507086,51512329,5244,2,100045066,ENSMUST00000190169.1,2339,ENSMUSG00000099413,Gm17767,"predicted gene, 17767"
chr1,51513132,51513278,147,*,Promoter (<=1kb),1,51507086,51512329,5244,2,100045066,ENSMUST00000190169.1,-803,ENSMUSG00000099413,Gm17767,"predicted gene, 17767"
chr1,51514561,51514953,393,*,Promoter (2-3kb),1,51507086,51512329,5244,2,100045066,ENSMUST00000190169.1,-2232,ENSMUSG00000099413,Gm17767,"predicted gene, 17767"
chr1,52022286,52022432,147,*,"Intron (ENSMUST00000168302.7/20849, intron 4 of 24)",1,52008626,52072444,63819,1,20849,ENSMUST00000187053.1,13660,ENSMUSG00000062939,Stat4,signal transducer and activator of transcription 4
chr1,52374757,52374922,166,*,Distal Intergenic,1,52459241,52467057,7817,2,17936,ENSMUST00000167732.1,92135,ENSMUSG00000002881,Nab1,Ngfi-A binding protein 1
chr1,53889399,53889731,333,*,"Intron (ENSMUST00000120904.7/329152, intron 15 of 28)",1,53839017,53866512,27496,2,329152,ENSMUST00000152870.1,-22887,ENSMUSG00000042807,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
chr1,54909056,54909257,202,*,"Intron (ENSMUST00000179030.7/329154, intron 1 of 27)",1,54735302,54926354,191053,2,329154,ENSMUST00000178935.7,17097,ENSMUSG00000052331,Ankrd44,ankyrin repeat domain 44
