,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5424545,-0.31931066513061523,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.9522579,0.38967347145080566,True,0.028356320811623,0.09553793899286916,0.08537357772540875,27.27429982842139,2.0428942501544953,0.09387271851301193,0.06203364208340645,0.25581361397421004,0.0,0.0,0.39421807403429887,0.2717757918033836,0.2212664400355826,0.7162190473675247,6.916908238435062
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,1.0108023,-0.6487240791320801,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4106247,-0.5683330297470093,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5817676,-0.30836021900177,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.827774,-8.980924606323242,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.57179934,-2.2915871143341064,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.9380113,-0.7339062690734863,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0037368732,-3.247837543487549,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,9.164613,-3.8562655448913574,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.103486426,-3.7723984718322754,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.13087925,0.3938385844230652,True,2.1513567609493807,4.66935661521451,0.6202661492726231,12.989611313301069,0.06816608235239982,0.13718031346797943,0.9055991172790527,0.3844311171657177,0.0,0.0,0.4506571438365827,0.371534559828093,2.3634640749158526,0.3844438554835411,1.413797258150678
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.90338117,-0.7103705406188965,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,47.241863,-0.8146141767501831,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.18299784,-0.17682886123657227,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.41203642,-0.44968652725219727,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.089741364,-1.7550082206726074,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,2.5116334,-1.7943618297576904,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,4.828082,-1.1707696914672852,False,,,,,,,,,,,,,,,
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.29831997,-0.20332813262939453,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.6658691,-0.24182462692260742,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.0528505,-4.187625885009766,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.832047,-0.4913146495819092,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.900025,-1.2821764945983887,False,,,,,,,,,,,,,,,
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.64900446,-2.5677664279937744,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.3520463,-1.5784060955047607,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.4594595,-3.956549644470215,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.04343925,-3.950376510620117,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.5117879,-1.1700494289398193,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.6606848,-0.6146423816680908,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.4061855,-0.6829750537872314,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.060427126,-1.9336886405944824,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,6.27435,-0.6014758348464966,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,18.822975,0.9530630819499493,True,0.15352816235737557,0.013710059714586718,0.18381792262674945,21.22037898881528,8.201231543223063,2.970332384109497,0.17505426704883575,0.4854392579133679,0.0,0.0,0.44856803707685927,10.10222537061796,0.620214339088777,0.20686240216022067,4.2986128018945955
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.99431723,-0.13981366157531738,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.4611023,-0.4895433187484741,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.23970759,-0.3523792028427124,False,,,,,,,,,,,,,,,
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.8109573,0.02569746971130371,True,0.05332157424505391,0.14617818929271767,0.2001570318458018,21.11936031601885,1.9465199675824907,0.09834107011556625,0.06090645119547844,0.22680697072635672,0.0,0.0,0.32548603740979587,0.29651550289448525,0.18881107094408622,1.0554407343067738,4.236876330689093
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.3386986,-0.25993967056274414,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.43569228,-0.5619231462478638,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.66023564,-0.2840230464935303,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,5.259663,-0.604089617729187,False,,,,,,,,,,,,,,,
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,6.3802395,-1.0770986080169678,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.94847494,-0.9666135311126709,False,,,,,,,,,,,,,,,
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.8234277,-2.1848697662353516,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.4473501,-0.6162991523742676,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,2.7495346,-1.0282609462738037,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.77565354,-0.201316237449646,False,,,,,,,,,,,,,,,
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,1.0582553,-0.520636796951294,False,,,,,,,,,,,,,,,
