chr,start,end,length,abs_summit,pileup,-log10pval,fold_enrichment,-log10qval,name
4,9015920,9016109,190,9015974,7.79,4.90105,4.33310,1.56397,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8_peak_6024
4,9009823,9010438,616,9010116,26.00,19.15629,8.14170,15.75383,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76708
4,9010497,9010665,169,9010591,13.00,6.76735,4.22162,4.33982,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76709
4,9015483,9016167,685,9015788,20.00,13.00569,6.33244,10.07481,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76710a
4,9015483,9016167,685,9015998,20.00,13.00569,6.33244,10.07481,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76710b
4,9009014,9010424,1411,9009192,18.00,5.45622,3.00001,3.10592,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63183a
4,9009014,9010424,1411,9009346,18.00,4.15471,2.47827,1.92541,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63183b
4,9009014,9010424,1411,9009498,22.00,6.72572,3.18462,4.27415,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63183c
4,9009014,9010424,1411,9009721,30.00,11.91186,4.29232,9.12196,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63183d
4,9009014,9010424,1411,9009912,26.00,10.47565,4.20387,7.78272,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63183e
4,9009014,9010424,1411,9010120,32.00,16.55560,5.71991,13.48977,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63183f
4,9009014,9010424,1411,9010322,24.00,10.09264,4.28475,7.41335,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63183g
4,9012367,9012567,201,9012454,18.00,7.41047,3.85668,4.91030,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63184
4,9013218,9013515,298,9013337,17.00,5.39702,3.05661,3.05257,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63185
4,9014981,9016464,1484,9015197,21.00,7.90886,3.73586,5.37605,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63186a
4,9014981,9016464,1484,9015677,25.00,10.57991,4.35853,7.87178,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63186b
4,9014981,9016464,1484,9016019,24.00,9.99401,4.24529,7.32090,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63186c
4,9014981,9016464,1484,9016358,16.00,4.82302,2.88680,2.52863,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63186d
4,9009287,9009487,201,9009359,24.00,3.76919,2.10355,1.50402,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70294
4,9009692,9009983,292,9009815,21.00,5.04193,2.64215,2.54883,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70295
4,9010048,9010351,304,9010176,33.00,14.75444,4.93117,10.58886,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70296
4,9010526,9010735,210,9010579,18.00,5.29863,2.93488,2.78271,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70297a
4,9010526,9010735,210,9010649,16.00,3.99212,2.52732,1.67965,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70297b
4,9011909,9012207,299,9012089,26.00,11.15032,4.46076,7.64765,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70298
4,9012302,9012676,375,9012374,20.00,6.98171,3.45506,4.18522,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70299a
4,9012302,9012676,375,9012592,15.00,4.09286,2.63608,1.75970,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70299b
4,9015746,9016034,289,9015941,24.00,6.48073,2.95948,3.76629,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70300
4,9016225,9016456,232,9016343,30.00,11.77421,4.24561,8.15535,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70301
4,9017919,9018134,216,9018031,24.00,9.14251,3.91258,5.98936,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70302
4,9009697,9010198,502,9009877,22.00,23.83128,12.10053,19.36179,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV_peak_4468a
4,9009697,9010198,502,9010051,21.00,16.29912,7.92482,12.06451,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV_peak_4468b
