chr,start,end,length,abs_summit,pileup,-log10pval,fold_enrichment,-log10qval,name
4,8913506,8915825,2320,8913633,20.00,11.61697,5.59893,8.82020,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76694a
4,8913506,8915825,2320,8913881,23.00,16.00170,7.23707,12.84265,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76694b
4,8913506,8915825,2320,8914346,42.00,38.07779,12.96642,33.22711,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76694c
4,8913506,8915825,2320,8914759,50.00,38.96814,10.92634,34.09281,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76694d
4,8913506,8915825,2320,8915257,43.00,31.14766,9.42664,26.85989,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76694e
4,8913506,8915825,2320,8915690,24.00,12.60824,5.35605,9.73453,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76694f
4,8915961,8916793,833,8916120,20.00,13.00569,6.33244,10.07481,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76695a
4,8915961,8916793,833,8916422,21.00,13.98551,6.63398,10.97950,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76695b
4,8915961,8916793,833,8916703,16.00,9.29629,5.12626,6.66015,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76695c
4,8916958,8917615,658,8917100,22.00,13.44728,6.13216,10.50315,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76696a
4,8916958,8917615,658,8917380,21.00,10.15232,4.71332,7.47907,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76696b
4,8918448,8918624,177,8918549,14.00,7.58342,4.52317,5.08758,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76697
4,8915879,8916361,483,8916014,16.00,4.81074,2.88136,2.51949,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63158a
4,8915879,8916361,483,8916223,24.00,10.46078,4.43368,7.76860,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63158b
4,8916425,8916810,386,8916536,25.00,9.92525,4.10527,7.25723,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63159
4,8917081,8917312,232,8917176,22.00,6.72572,3.18462,4.27415,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63160
4,8916169,8916844,676,8916248,20.00,6.14820,3.12092,3.47925,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70271a
4,8916169,8916844,676,8916558,25.00,9.35094,3.88966,6.16570,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70271b
4,8916169,8916844,676,8916791,23.00,7.97879,3.56798,5.02070,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70271c
4,8917372,8917554,183,8917443,15.00,15.41618,9.01884,11.37959,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_6052
4,8917337,8917593,257,8917491,11.00,10.08628,6.61999,6.54473,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT_peak_10751
4,8917303,8917586,284,8917470,31.00,14.35823,5.03874,10.50959,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO_peak_11255
4,8917381,8917590,210,8917476,18.00,7.51135,3.90344,3.85270,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT_peak_7314
4,8914100,8916271,2172,8914371,20.60,11.08801,5.48271,7.85060,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36523a
4,8914100,8916271,2172,8914649,20.23,14.21410,7.07576,10.59527,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36523b
4,8914100,8916271,2172,8914795,24.35,11.80429,5.06953,8.46743,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36523c
4,8914100,8916271,2172,8915141,17.61,11.20838,6.20174,7.94900,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36523d
4,8914100,8916271,2172,8915441,13.11,8.40672,5.22975,5.45277,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36523e
4,8914100,8916271,2172,8915754,13.48,8.40672,5.36858,5.45277,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36523f
4,8914100,8916271,2172,8916095,14.98,9.35622,5.92391,6.27944,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36523g
