chr,start,end,length,abs_summit,pileup,-log10pval,fold_enrichment,-log10qval,name
13,30765612,30766985,1374,30765915,21.00,13.98551,6.63398,10.97950,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_29993a
13,30765612,30766985,1374,30766153,41.00,36.80854,12.66487,32.05552,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_29993b
13,30765612,30766985,1374,30766591,47.00,35.56255,10.28361,30.90376,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_29993c
13,30765718,30766507,790,30765917,23.00,5.84230,2.80520,3.46260,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_25104a
13,30765718,30766507,790,30766337,19.00,5.85202,3.08262,3.47182,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_25104b
13,30765923,30766150,228,30766048,24.00,8.28148,3.59024,4.99163,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_30319
13,30765469,30766973,1505,30765546,24.00,7.17623,3.19642,4.35140,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_27871a
13,30765469,30766973,1505,30765926,29.00,6.83678,2.79357,4.06398,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_27871b
13,30765469,30766973,1505,30766341,35.00,14.11531,4.50581,10.06873,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_27871c
13,30765469,30766973,1505,30766763,21.00,3.64972,2.16407,1.39538,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_27871d
13,30765843,30766105,263,30765958,9.00,7.86134,5.56634,4.19018,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV_peak_2478
13,30765609,30766003,395,30765817,12.00,11.49124,7.29150,6.79870,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO_peak_491
13,30766074,30766443,370,30766197,12.00,9.26113,5.91766,4.72249,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO_peak_492
13,30765968,30766155,188,30766049,10.00,7.51384,5.19493,4.11435,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT_peak_4309
13,30765908,30767020,1113,30766094,19.48,10.08017,5.11953,6.96342,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_14973a
13,30765908,30767020,1113,30766727,24.72,20.14991,9.53354,15.73345,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_14973b
13,30765975,30766180,206,30766071,15.40,6.74280,4.01200,3.89496,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_16670
13,30765438,30767074,1637,30765602,14.71,4.73874,3.16196,2.59776,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_22490a
13,30765438,30767074,1637,30766091,53.65,26.00277,6.07275,22.89260,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_22490b
13,30765438,30767074,1637,30766674,71.83,55.60183,12.13803,51.01126,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_22490c
13,30766046,30766292,247,30766136,11.04,5.86499,4.01399,3.20071,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_15918
13,30766344,30766917,574,30766735,18.32,18.56821,10.31925,14.25885,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_15919
13,30765731,30766218,488,30765999,9.50,6.95301,5.24898,4.17405,2017_PNAS_Li___H3K27Ac-noIL2-CD4_peak_9770
13,30765936,30766089,154,30766038,7.44,4.98931,4.21790,2.32483,2017_PNAS_Li___H3K27Ac_IL2-CD4_peak_9016
13,30765561,30766319,759,30765737,9.24,8.80085,6.27589,6.03790,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4_peak_10328a
13,30765561,30766319,759,30765983,13.49,11.34488,7.24276,8.45920,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4_peak_10328b
13,30765561,30766319,759,30766214,9.85,6.84022,5.34695,4.15606,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4_peak_10328c
13,30766004,30766164,161,30766079,11.18,9.08008,6.08816,6.23603,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4_peak_8350
13,30765755,30766384,630,30765964,10.27,7.99793,5.63285,5.17470,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4_peak_9127a
13,30765755,30766384,630,30766239,9.89,6.31781,5.00252,3.60685,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4_peak_9127b
