chr,start,end,length,abs_summit,pileup,-log10pval,fold_enrichment,-log10qval,name
4,8871688,8872323,636,8871996,15.00,8.42693,4.82471,5.86054,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_76688
4,8870909,8872040,1132,8871040,25.00,12.99401,5.36290,10.14328,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63141a
4,8870909,8872040,1132,8871540,28.00,12.98200,4.91527,10.13138,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63141b
4,8870909,8872040,1132,8871799,41.00,20.43669,5.81540,17.13409,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63141c
4,8872235,8873299,1065,8872380,39.00,15.16877,4.44446,12.18443,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63142a
4,8872235,8873299,1065,8872518,27.00,11.35689,4.42106,8.59930,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63142b
4,8872235,8873299,1065,8872598,32.00,15.43513,5.29980,12.43378,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63142c
4,8872235,8873299,1065,8873050,21.00,9.55469,4.44206,6.91353,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_63142d
4,8870872,8871939,1068,8870963,19.00,6.45891,3.33208,3.75012,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70253a
4,8870872,8871939,1068,8871439,28.00,11.06861,4.20600,7.58548,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70253b
4,8870872,8871939,1068,8871694,35.00,10.79030,3.54120,7.35719,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70253c
4,8872302,8872802,501,8872563,37.00,13.74318,4.21272,9.76931,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70254
4,8872987,8873278,292,8873209,17.00,5.14821,2.94922,2.64372,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70255
4,8872022,8872300,279,8872138,26.00,12.09196,4.83317,8.34550,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO_peak_11251
4,8872102,8872302,201,8872203,23.00,11.30156,4.93066,7.38475,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT_peak_7312
4,8871501,8872001,501,8871587,14.83,6.28117,4.01695,3.49490,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_40345a
4,8871501,8872001,501,8871734,18.25,7.28745,3.84967,4.36384,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_40345b
4,8871501,8872001,501,8871986,13.69,4.11731,2.93726,1.61227,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_40345c
4,8871321,8872160,840,8871604,32.89,15.97543,5.64753,13.30802,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_56276a
4,8871321,8872160,840,8871953,21.63,9.46042,4.52700,7.08130,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_56276b
4,8872213,8872440,228,8872332,20.77,5.83711,3.10994,3.64171,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_56277
4,8871537,8872061,525,8871601,7.75,5.38052,4.65084,2.78808,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_39776a
4,8871537,8872061,525,8871904,12.22,8.74577,5.68948,5.72339,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_39776b
4,8871765,8871989,225,8871876,5.95,5.35659,4.94204,2.65289,2017_PNAS_Li___H3K27Ac_IL2-CD4_peak_22466
4,8871824,8872157,334,8872048,15.42,15.76008,9.46293,12.72370,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4_peak_19580
4,8871546,8872123,578,8871925,12.73,14.59424,9.52665,11.57820,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4_peak_25840
4,8872246,8872410,165,8872367,13.03,5.46828,3.50774,2.85645,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4_peak_25841
4,8871483,8871660,178,8871574,9.03,10.63427,7.13147,7.74409,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4_peak_20856
4,8871727,8872115,389,8871874,18.48,24.69000,13.85744,21.63002,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4_peak_20857
4,8871518,8872132,615,8871877,9.51,10.63427,7.47161,7.70197,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4_peak_22465a
4,8871518,8872132,615,8872075,8.74,7.04947,5.61663,4.27639,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4_peak_22465b
4,8871994,8872157,164,8872073,16.00,11.58636,6.44932,7.49243,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT_peak_3714
4,8872079,8872289,211,8872257,14.00,6.46946,4.34036,3.23009,2021_GoldrathLab_Brd4___BRD4_TE-CD8_peak_10326
