chr,start,end,length,abs_summit,pileup,-log10pval,fold_enrichment,-log10qval,name
4,8594082,8594491,410,8594272,22.00,4.92664,2.54981,2.46553,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70173a
4,8594082,8594491,410,8594378,19.00,4.45885,2.53983,2.07211,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_70173b
4,8593952,8594142,191,8594058,22.00,10.22712,4.60147,6.57765,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO_peak_11241
4,8593887,8594534,648,8593970,11.99,6.59819,4.81326,3.85877,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36483a
4,8593887,8594534,648,8594304,13.11,8.40672,5.22975,5.45277,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_36483b
4,8593205,8593905,701,8593510,21.67,14.66717,7.21879,10.85336,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_40297a
4,8593205,8593905,701,8593794,20.53,13.40874,6.71745,9.76036,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_40297b
4,8594040,8594400,361,8594165,18.25,11.68635,6.12926,8.23632,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_40298
4,8593155,8594698,1544,8593477,45.87,19.59213,5.20735,16.76878,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_56220a
4,8593155,8594698,1544,8593874,34.62,22.78156,8.06525,19.81085,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_56220b
4,8593155,8594698,1544,8594425,38.08,26.94735,8.84913,23.78810,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_56220c
4,8594800,8595002,203,8594963,12.98,3.91306,2.99059,1.82717,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_56221
4,8593428,8594422,995,8593533,7.99,5.41375,4.79936,2.78808,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_39725a
4,8593428,8594422,995,8593912,6.58,4.07966,3.78910,1.65879,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_39725b
4,8593428,8594422,995,8594138,6.81,4.07966,3.90657,1.65879,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_39725c
4,8593428,8594422,995,8594358,7.52,5.41375,4.54845,2.78808,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_39725d
