chr,start,end,length,abs_summit,pileup,-log10pval,fold_enrichment,-log10qval,name
18,80737340,80737734,395,80737411,7.79,4.98931,4.39593,1.57660,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8_peak_4542a
18,80737340,80737734,395,80737639,7.79,6.15586,5.19951,2.43398,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8_peak_4542b
18,80737844,80738000,157,80737978,7.79,6.08834,5.15470,2.36934,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8_peak_4543
18,80737546,80737739,194,80737646,14.00,7.58342,4.52317,5.08758,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_56832
18,80737847,80738324,478,80738052,14.00,7.58342,4.52317,5.08758,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_56833a
18,80737847,80738324,478,80738203,14.00,6.63855,3.99924,4.26102,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_56833b
18,80738419,80739075,657,80738696,16.00,9.29629,5.12626,6.66015,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_56834a
18,80738419,80739075,657,80738958,21.00,12.52259,5.86555,9.65271,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_56834b
18,80739144,80739638,495,80739257,14.00,7.58342,4.52317,5.08758,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8_peak_56835
18,80738282,80738462,181,80738351,24.00,9.44544,4.02934,5.44978,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8_peak_2697
18,80737632,80738423,792,80738194,38.00,21.49724,6.62266,18.13200,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_47415
18,80738497,80739256,760,80738656,27.00,12.62167,4.90885,9.79054,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_47416a
18,80738497,80739256,760,80738982,18.00,4.54441,2.63078,2.27341,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_47416b
18,80738497,80739256,760,80739150,17.00,4.89657,2.84211,2.59510,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8_peak_47416c
18,80737845,80738063,219,80737971,22.00,8.74480,3.97048,5.31926,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56132
18,80739762,80739942,181,80739866,29.00,14.77307,5.47827,10.07487,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56133
18,80740600,80740875,276,80740683,17.00,4.71408,2.76537,2.18703,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56134
18,80743351,80743502,152,80743477,16.00,5.57264,3.22578,2.88884,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56135
18,80743702,80744033,332,80743898,22.00,9.13805,4.13333,5.58691,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56136
18,80745305,80745617,313,80745445,15.00,5.06070,3.08111,2.44201,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56137
18,80746717,80746962,246,80746841,21.00,8.52818,3.99460,5.11750,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56138
18,80748181,80748370,190,80748337,15.00,5.06070,3.08111,2.44201,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56139
18,80748954,80749139,186,80749069,19.00,5.82729,3.07263,3.05392,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56140
18,80749317,80749572,256,80749402,16.00,4.19063,2.61174,1.78909,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56141
18,80751492,80752027,536,80751660,17.00,5.25674,2.99588,2.61163,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56142
18,80752938,80753115,178,80752998,20.00,6.41505,3.22626,3.49799,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56143
18,80753620,80753820,201,80753737,19.00,6.45095,3.32875,3.52023,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56144
18,80754106,80754286,181,80754207,23.00,9.59276,4.20185,5.98999,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56145
18,80754602,80754852,251,80754779,18.00,6.12809,3.28414,3.30927,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56146
18,80758839,80759032,194,80758915,17.00,3.81162,2.39657,1.51723,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56147
18,80760290,80760481,192,80760369,15.00,5.06070,3.08111,2.44201,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56148
18,80760745,80760901,157,80760810,13.00,3.59222,2.54202,1.32979,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56149
18,80761334,80761569,236,80761391,14.00,4.47067,2.88854,1.98271,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56150
18,80762082,80762258,177,80762175,23.00,9.97040,4.35775,6.23499,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56151
18,80764934,80765115,182,80765039,20.00,8.36561,4.04396,4.99163,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56152
18,80765784,80766010,227,80765909,25.00,12.16834,5.00681,7.96248,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56153
