,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm
Atp6v1h,ENSMUSG00000033793,Gene Expression,324,True,0.30662584,0.613182,0.35827246
Rb1cc1,ENSMUSG00000025907,Gene Expression,327,True,0.35633177,0.74334604,0.79849577
Pcmtd1,ENSMUSG00000051285,Gene Expression,295,True,0.32673246,0.71069616,0.6880718
Sgk3,ENSMUSG00000025915,Gene Expression,102,True,0.12094044,0.5388794,0.2362231
Cspp1,ENSMUSG00000056763,Gene Expression,273,True,0.26942146,0.7459922,0.8074452
Lactb2,ENSMUSG00000025937,Gene Expression,177,True,0.15327354,0.6338719,0.481981
Ube2w,ENSMUSG00000025939,Gene Expression,156,True,0.1526112,0.54111034,0.24199484
Mcm3,ENSMUSG00000041859,Gene Expression,439,True,0.48367634,0.73134077,0.7578932
Lmbrd1,ENSMUSG00000073725,Gene Expression,165,True,0.15695703,0.7584097,0.8041763
Hs6st1,ENSMUSG00000045216,Gene Expression,42,True,0.054653067,0.67093533,0.5778689
Neurl3,ENSMUSG00000047180,Gene Expression,236,True,0.30162925,0.7331549,0.76402867
Arid5a,ENSMUSG00000037447,Gene Expression,220,True,0.25116187,0.6249007,0.45877132
Kansl3,ENSMUSG00000010453,Gene Expression,232,True,0.20779583,0.6301178,0.47226855
Cnnm3,ENSMUSG00000001138,Gene Expression,58,True,0.063162215,0.610244,0.42085248
Actr1b,ENSMUSG00000037351,Gene Expression,270,True,0.24631047,0.61594063,0.43559048
Mgat4a,ENSMUSG00000026110,Gene Expression,82,True,0.08684558,0.5791726,0.34046686
Mitd1,ENSMUSG00000026088,Gene Expression,452,True,0.46630546,0.63085777,0.41805303
Aff3,ENSMUSG00000037138,Gene Expression,82,True,0.11237909,0.6440475,0.50830656
Gm16152,ENSMUSG00000087131,Gene Expression,93,True,0.118579395,0.5746308,0.3287166
Rpl31,ENSMUSG00000073702,Gene Expression,1265,True,3.5428061,1.6219425,0.53661036
Rnf149,ENSMUSG00000048234,Gene Expression,182,True,0.18125479,0.62534946,0.45993233
Map4k4,ENSMUSG00000026074,Gene Expression,481,True,0.5214897,0.7478928,0.81387323
Il18r1,ENSMUSG00000026070,Gene Expression,451,True,0.43597633,0.57972723,0.24512619
Il18rap,ENSMUSG00000026068,Gene Expression,321,True,0.29923478,0.68593705,0.60433483
Tgfbrap1,ENSMUSG00000070939,Gene Expression,73,True,0.072503686,0.5824858,0.34903848
Nck2,ENSMUSG00000066877,Gene Expression,70,True,0.069624424,0.5835282,0.35173538
