,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.4819983,-0.2573035955429077,False,,,,,,,,,,,,,,,,0.12879109382629395
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.9598237,0.4123014211654663,True,0.032341041123938825,0.10749440385172646,0.09832413912294637,22.69518207266529,1.9072286950217352,0.08535010367631912,0.050469014793634415,0.16609247256799775,0.0,0.0,0.4378307539303185,0.2962399042479263,0.17772217632014434,1.2225263761836258,5.63843749537894,0.41362500190734863
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6255368,-0.96971595287323,False,,,,,,,,,,,,,,,,-0.9165967702865601
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.41646904,-0.3496725559234619,False,,,,,,,,,,,,,,,,0.16190409660339355
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2419672,-0.2870175838470459,False,,,,,,,,,,,,,,,,-0.030597329139709473
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,5.979767,-13.098475456237793,False,,,,,,,,,,,,,,,,-7.371112823486328
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.46095031,-0.8176620006561279,False,,,,,,,,,,,,,,,,-0.11808466911315918
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0488199,-0.7333202362060547,False,,,,,,,,,,,,,,,,-0.579727292060852
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0023532666,-1.854865550994873,False,,,,,,,,,,,,,,,,-0.04892778396606445
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,8.188014,-2.635427951812744,False,,,,,,,,,,,,,,,,-2.5513947010040283
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08260676,-0.7214417457580566,False,,,,,,,,,,,,,,,,-0.27417147159576416
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.089984894,0.7241704761981964,True,3.2550797227349495,6.447140668531074,0.5602039969735826,7.16441749233367,0.04459497537463904,0.14326174557209015,1.517910361289978,0.48166248447090665,0.0,0.0,0.47906482317383736,0.322248276445893,4.144997772792804,0.2392351015457266,1.565162518884178,0.7286473214626312
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.6088134,-0.6359795331954956,False,,,,,,,,,,,,,,,,-0.635956883430481
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,92.05389,-0.43473267555236816,False,,,,,,,,,,,,,,,,-0.41872429847717285
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.24570636,-0.13454043865203857,False,,,,,,,,,,,,,,,,-0.00818026065826416
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.40713882,-1.658005952835083,False,,,,,,,,,,,,,,,,-1.570298433303833
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07176905,-1.7922496795654297,False,,,,,,,,,,,,,,,,-0.012118220329284668
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.0022589,-3.074063777923584,False,,,,,,,,,,,,,,,,-2.3277523517608643
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.552026,0.3443700075149536,False,0.11023493645146717,0.059998266343840416,0.16706415730586863,8.272240430059588,5.521804535388949,0.6304000616073608,0.1398528516292572,0.35288381433737037,0.0,0.0,0.37380681633825474,1.8086034494414085,0.31940364627296036,0.4064346011474765,3.2881958262684545,0.4429064989089966
