,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0465,0.9669183,-0.8940428495407104,False
Snhg6,ENSMUSG00000098234,1,9944118,9941959,-,0.0687,0.16896129,-0.3511834144592285,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.0987,0.40113872,-0.23359441757202148,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.009,1.0020388,-1.2074811458587646,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0465,5.059444,-4.0638885498046875,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0129,0.26332685,-0.04116499423980713,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,-0.0208,0.5221765,-0.580870509147644,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.0305,0.00342727,-3.839836597442627,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2028,0.050148506,-0.7444344758987427,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.1745,0.06428467,0.360914945602417,True
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.062,29.668667,-0.8863270282745361,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.1426,0.5421511,-0.8423142433166504,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0587,1.1162572,-0.6994467973709106,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.2422,1.957675,0.4851455092430115,True
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0495,0.914897,-0.7645388841629028,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.064,0.5776117,-1.2322797775268555,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.0717,0.44325316,0.08935195207595825,True
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,-0.0211,0.17023623,-0.2749532461166382,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0475,1.7906531,-1.7258505821228027,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0028,0.7741562,-0.7393465042114258,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0438,10.719587,0.08685535192489624,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0289,0.4088523,-0.31779253482818604,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.2064,0.21071912,0.18013763427734375,True
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,-0.0128,1.3497715,-0.6406272649765015,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.1507,0.25099415,-0.7386846542358398,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,0.0087,2.8255043,-1.6408276557922363,False
